"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186"
"143",87116,87796,87644,89316,87686,87108,88068,87848,89524,87478,87588,87962,89634,89464,87630,89150,89578,87852,8584,7086,7358,78946,78780,3260,2462,88954,8962,3312,89634,89210,9014,79044,89096,89418,6984,9280,88518,9280,6406,1228,858,8742,88844,89426,3040,89088,1066,78934,6878,3052,89358,3098,858,89478,1340,7098,646,89210,79426,78946,78832,78688,79320,78624,78310,78836,79262,78474,78526,79316,79426,79154,79102,79376,79274,79154,79044,79424,78474,79316,78880,79006,79270,79100,79430,79426,55218,2516,3040,598,652,2510,55856,56782,842,2932,2832,2406,1228,78820,73020,480,1176,1286,2874,956,2572,3256,55108,55644,57002,55068,55258,55750,56684,2516,858,956,802,3370,3036,3256,2884,55912,56022,55652,2620,1118,3146,1286,55542,55282,55530,73078,78734,78576,79098,79206,72862,73074,78934,2980,0,3204,536,1078,56942,488,2942,3104,1068,56794,55482,55372,55436,72500,78988,73020,78836,78836,72910,73088,72604,72868,78568,79206,79052,79108,952,2884,756,79162,78670,72540,72706,910,78936,79150,79212,55856,1396,1010,958,3260,56836,56892
"144",85932,85032,85930,87382,85454,85822,85292,85292,87182,85556,85454,85198,86922,87228,85398,87236,86814,85620,7192,9124,8640,76914,76858,166,1066,87550,6930,646,86540,87068,6556,76390,86748,86544,8584,6718,87224,6406,9060,2620,2994,6718,87330,86962,918,86966,2782,76812,8692,800,87016,438,2782,87182,2246,8912,2994,87076,76812,76812,76484,77457,77351,77232,77236,77079,76596,77070,77342,76974,76662,76335,76552,76829,76706,76812,76812,76978,77290,76812,76868,77296,76812,76758,77045,76974,57672,1010,698,3040,2882,910,57678,58608,3104,688,918,1120,2782,77024,70894,3256,2250,2632,492,2994,1286,590,57452,57462,58348,57510,57520,57466,58710,798,2982,2994,2836,658,910,910,698,57576,57686,57576,1020,2620,1130,2884,57304,57732,57414,70314,76914,76960,76444,76812,70838,70838,77134,1074,3204,0,2884,3202,58874,3150,910,646,2992,58710,56776,56776,57670,70892,76858,70626,77012,76812,71004,70792,71102,70740,77066,76922,76594,76702,3104,918,2994,76646,76646,71266,70792,2620,76386,76646,76332,57468,2140,2616,2356,438,58654,58930
"145",87376,87806,87634,89362,87424,87258,87694,87474,89426,87742,87438,87916,89422,89300,87368,88946,89588,87754,8530,7254,6984,78466,79044,2884,2502,89158,8482,2938,89258,88784,8644,78832,89002,89316,6780,8962,88668,9178,6666,1020,1230,8482,88938,88946,3052,89100,858,78946,6452,2984,89096,2832,432,89218,1020,6782,386,88894,79162,78740,78408,79058,79372,78514,78624,79210,78888,78790,79006,79108,79490,79054,78890,79164,78904,79000,79002,79106,78844,78998,78948,78800,79120,78616,79218,79162,55540,2722,2832,858,968,2250,55800,56684,952,2820,2626,2942,1020,79040,72910,646,744,1184,2994,1014,3052,3104,55320,55536,56846,55274,55312,55762,56892,2832,738,848,598,3214,2760,3090,2624,55648,55924,55282,2360,800,3256,1124,55228,55542,55488,73088,78308,78836,79218,78998,72858,73020,78992,3036,536,2884,0,1124,57108,692,2516,2788,1176,56258,55270,55216,55482,72706,78882,72868,78936,78466,72910,72828,72604,72828,78734,79108,78738,78792,1116,2678,386,78738,78466,72972,72446,650,78726,78888,78836,55814,964,858,638,2828,56730,56840
"146",87312,87904,87062,88568,87754,87210,87310,87530,89040,87542,87468,87738,89466,89096,87698,89472,89466,87258,9060,6656,7040,78614,78844,3256,2674,89096,8630,2994,89630,88714,9004,79206,89308,89250,7306,8796,88934,9112,6822,964,646,8952,89096,89196,2666,89154,802,79000,7254,2510,89206,3204,1014,89248,1118,6814,958,88926,78888,78882,79264,78680,79108,78988,79002,78790,78944,78782,79162,79272,79422,79262,78934,79208,78824,78726,78892,79380,78670,78942,79058,79154,79370,78892,79262,79108,54912,2620,2996,810,968,2932,55762,56738,912,2942,2878,2620,1074,78890,72650,1286,1338,1008,3312,966,2454,2884,54912,55490,56888,55172,55384,55706,56526,2832,496,912,1124,2926,2942,2612,3314,55814,55868,55862,3042,1184,2666,746,55754,55706,55708,73406,78992,78678,79096,78942,72926,72596,78944,2832,1078,3202,1124,0,56464,646,2996,3040,748,56628,55754,55698,55128,72706,78670,73088,78364,79156,72980,73188,72968,73188,79044,78942,79264,79044,858,3150,1068,78934,79102,72564,72916,1230,79264,79218,78878,55924,1118,748,1176,3202,56848,56572
"147",75078,75146,75040,70568,75360,75302,75082,75302,70504,75250,74972,75092,70620,70040,75304,70830,70564,74866,64676,62068,63022,47110,47320,59040,59086,70662,64678,58976,70950,70242,65048,47382,70666,70294,63128,64834,70666,64620,62798,57002,56730,64996,70772,70776,58594,70618,56730,47376,63132,58814,70778,58878,57002,70828,56790,62692,56998,70340,47318,47098,47644,47430,46912,47164,47370,47376,47484,47314,47586,47648,47434,47382,47000,47274,47316,47046,47266,47866,47204,47428,47322,47366,47642,47432,47328,47428,2322,58920,58924,57002,56738,58972,2394,1014,56212,58406,58646,58700,57112,46638,40618,56792,57066,56516,58764,56488,58646,58700,2212,2234,1020,2530,2212,2802,1234,58492,56904,56488,56946,58600,58822,58076,59138,3074,3074,2964,58862,57222,58492,56268,2854,2866,2692,41416,47314,47318,46996,47318,40894,40452,46914,58546,56942,58874,57108,56464,0,57002,58878,58808,56102,968,2650,2650,2650,41034,46638,41352,47220,47538,40728,41570,40924,41460,46888,47318,47534,47480,56102,58918,56998,47314,47262,41144,41408,57054,47274,47592,47110,3018,56846,56784,56848,58930,606,442
"148",87438,87742,87486,88994,87644,86896,87584,87364,89426,87432,87906,87852,89468,89524,87588,89524,89524,87644,8852,7082,7204,79150,78734,3150,2250,89110,9166,3158,89524,89248,9222,78768,89250,89472,7248,9072,88620,9334,6618,1130,700,8950,88890,89524,2832,88990,1078,78836,7030,2674,89096,3098,1010,89466,1286,7140,638,89252,79162,79208,79096,78366,79320,78836,78576,78680,78998,78632,78848,79218,79536,79100,78936,79210,79262,79000,78892,79326,78576,79218,78838,79272,79588,78616,79264,79272,54952,2250,2942,496,708,2722,55694,56684,1066,2878,3204,2250,1020,79044,73024,858,1120,1230,3150,952,2360,3104,55172,55474,57002,54802,55218,55652,56362,2572,480,896,1176,3260,2776,3094,3202,55428,55704,55750,2832,1020,2832,1282,55806,55282,55598,73134,78780,78474,79154,79218,72696,72914,79040,2722,488,3150,692,646,57002,0,3090,3256,1234,56722,55426,55372,55224,72336,79040,73088,78458,79154,73134,73296,72816,73076,78946,78998,79206,79150,1120,3036,858,79206,79154,72604,72694,1118,78992,78998,79102,55594,1230,638,1014,2984,56888,56778
"149",85614,85722,85448,87176,85340,85818,85830,85720,87342,85544,85354,85832,87338,87342,85284,86862,87504,85780,6878,9016,8958,76500,76846,800,1062,87176,6516,964,87174,86598,6890,77078,86918,87232,8644,6768,87016,7094,8852,2994,3090,6728,87176,86972,1078,86906,2942,76752,8316,1006,87232,528,2516,87354,2994,8646,2572,86810,76968,76656,76764,77178,77190,76862,76862,77012,77134,77028,77134,76914,77406,77080,76806,77080,77040,76916,76863,77242,76972,77024,76974,76928,77036,76862,77134,77078,57082,1062,638,2816,2820,708,57460,58658,2942,748,762,1172,2884,76972,70952,2722,2828,3158,1130,2666,1282,1130,57192,57188,59040,57232,57510,57626,58752,1066,2610,2720,2462,1130,900,912,650,57842,57678,57256,488,2884,1176,2666,57312,57834,57682,70784,76436,76956,77244,77134,70786,70952,76696,1066,2942,910,2516,2996,58878,3090,0,814,2942,58020,57354,57520,57134,71160,76916,71004,76750,76382,70732,70524,70842,70744,76862,77024,76544,76818,2996,814,2352,76874,76602,70786,70692,2734,76642,76804,76862,57788,2938,2942,2722,854,58382,58602
"150",85666,85348,85712,87660,85620,86094,85126,85346,87072,85722,85084,85238,87126,87492,85564,87142,86910,85290,7260,8950,8474,76654,77024,756,1338,87338,6670,480,87130,86862,6516,76704,86544,86638,8600,6718,87398,6500,8794,2730,2828,6678,87448,86812,588,87076,2562,76922,8596,854,87402,918,2686,86812,2672,8376,2844,86540,76756,76386,76500,77344,77336,77244,77134,77190,76760,77080,77296,77084,76812,76816,76756,76868,76336,76646,76868,76978,76914,76702,76924,76870,76662,76812,77084,76808,57676,1448,808,3202,3418,870,58160,58718,3312,1334,382,1118,3002,77232,71322,3214,2674,2506,808,3370,1008,316,57456,57892,58608,57618,57464,57576,59040,1004,3204,3314,2742,698,1074,1172,548,57630,57686,57316,650,2730,910,3040,57320,58212,57470,70850,76598,77122,76430,76592,71372,71212,77400,1130,3104,646,2788,3040,58808,3256,814,0,3198,58504,57200,57256,57838,71318,77290,70682,77234,76662,71212,70752,70784,70370,77024,76812,76390,76496,3036,492,2734,76332,76442,71270,70642,2250,76922,76922,76702,57524,2454,2782,2892,752,59086,59086
"151",87304,87584,87314,89206,87682,87634,87734,87954,89300,87906,87572,87530,89202,88624,87626,89244,89146,87628,8796,6462,7024,78726,79208,3158,3098,89142,8742,2978,89532,88880,9108,79162,89300,88986,7188,8946,89256,8848,7144,1004,1066,9056,89362,89410,3036,89414,952,79260,7192,3040,89464,2886,1062,89572,908,6862,1286,88974,78982,78930,79256,79104,78802,78836,79158,79044,79148,78992,79374,79532,79214,79052,78670,78944,79148,78930,78930,79420,78882,78982,79206,79206,79474,79316,78998,79312,55328,3042,3256,1234,746,3040,55456,56998,442,2524,2816,3042,1224,78420,72290,802,1074,854,2882,552,2988,3142,55218,55240,56680,55484,55274,55966,57112,2830,1078,552,896,2718,2942,2306,3418,56238,56128,55966,3260,1224,2722,332,55746,55706,55746,72976,79044,79102,78886,79092,72564,72344,78420,2776,1068,2992,1176,748,56102,1234,2942,3198,0,56904,55490,55490,55546,72814,78254,73126,78946,79040,72510,73182,72926,73402,78780,79312,79256,79202,332,3308,1176,79146,78984,72870,73240,1444,78834,79256,78780,56072,964,1116,856,3158,56322,56268
"152",75204,75202,75038,70512,74930,75188,75090,74980,70788,75134,74944,75312,70674,70568,74874,70308,70840,75150,64568,62758,62920,46638,47204,58600,58752,70732,64206,58874,70510,69934,64580,47106,70254,70678,62716,64788,70352,65004,62594,56956,57052,64418,70512,70308,58768,70352,56794,47110,62388,58806,70568,58548,56258,70470,56846,62498,56204,70146,47436,47014,46902,47426,47328,47000,47220,47480,47272,47276,47492,47272,47764,47328,47054,47328,47068,47274,47331,47600,47220,47382,47332,47286,47394,46890,47382,47436,2102,58862,58548,56778,56892,58398,2480,968,56794,58548,58562,58862,56956,47220,41090,56684,56570,56900,58930,56738,58972,58820,2212,2208,1130,2252,2530,2756,952,58756,56462,56462,56424,58930,58590,58712,58560,2642,2698,2276,58178,56846,58976,56738,2222,2744,2702,41252,46684,47314,47382,47382,41034,40980,47054,58866,56794,58710,56258,56628,968,56722,58020,58504,56904,0,2264,2430,2374,41188,47054,41252,46998,46740,40980,40992,40980,40882,47220,47162,46792,47066,56848,58504,56204,46902,46850,41034,40720,56476,47110,47272,47110,2808,56790,56574,56464,58434,802,802
