"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135"
"63",30190,30650,26560,26842,30592,26724,30474,21184,25216,27020,21348,25098,30190,30650,24874,30592,21466,26500,21408,26442,26902,25098,26678,30474,30592,33858,32944,33520,30308,25216,30194,33684,20082,25042,30418,33408,33516,34036,33808,4296,4940,5000,5000,3438,3924,3761,4067,4550,3456,3266,5046,3796,3090,5074,4762,4112,4410,5512,5686,4296,2234,2894,0,4684,4576,5182,4186,4098,1382,2042,3347,4959,4098,4321,6016,4354,5692,5542,4812,5356,5130,5782,1868,5632,4346,4576,4488,3926,4482,4323,5000,3786,4261,4352,3126,3456,4600,5362,4950,3761,4426,3456,3456,3396,4270,4210,1298,3126,3420,5966,5104,5595,4067,1958,2954,4510,3850,3766,2894,4600,4380,1898,4067,4986,5325,5093,3082,4014,4185,5265,3148,5217,5661,5608,4158
"64",30236,30525,26546,26717,30407,26599,30118,21170,24860,26604,21052,24913,30236,30354,24860,30236,21170,26546,21163,26428,26546,24682,26604,30289,30347,33733,32648,33506,30354,24971,30120,33388,19786,24797,30233,33334,33220,33620,33512,4900,3380,3146,3206,3928,3598,2108,4250,1890,3896,5990,5222,4410,2254,4688,5436,5072,4786,4294,3892,4960,4958,4628,4684,0,4018,4392,4018,3364,3536,2972,4580,2968,5428,5730,3342,724,3898,5044,4372,4158,4396,3402,3206,4126,5072,3958,5428,5660,5422,1436,3320,3346,5730,5078,4396,4336,3094,4338,4564,2048,2926,4238,3956,4298,1718,1876,4188,4336,1264,4232,5400,4946,4190,3798,1904,174,1574,2226,4568,886,5546,3858,4250,5282,4984,5276,6102,4190,4368,5044,6108,5340,4550,4990,5428
"65",30900,31360,27150,27552,31182,27434,31064,21774,25806,27670,22058,25688,30900,31360,25464,31182,22176,27210,22058,27032,27492,25748,27328,31064,31242,34568,33654,34110,31018,25866,30844,34394,20792,25692,31008,34058,34226,34686,34518,2966,2880,2880,2820,2048,2204,3788,1976,4196,2720,3374,2644,3114,3322,3084,4200,3078,3140,3230,3452,2906,2342,2672,4576,4018,0,2668,1050,2108,4104,4494,1706,1474,3202,2796,2902,4568,3458,1086,3196,2902,3140,2728,4260,3470,3192,60,2152,3374,2146,4106,2880,2170,2856,3198,2110,1180,2438,2908,2960,3848,2252,2732,2660,2732,3754,2202,3278,2170,4312,3906,2432,3062,2036,3338,4368,3844,4368,3542,2732,3132,2308,3338,1646,2314,2500,3002,3546,1282,1764,2500,3492,2856,3056,1092,3142
"66",30740,31200,26990,27392,31022,27274,30904,21614,25646,27510,21898,25528,30740,31200,25304,31022,22016,27050,21898,26872,27332,25588,27168,30904,31082,34408,33494,33950,30858,25706,30684,34234,20632,25532,30848,33898,34066,34526,34358,1282,3254,3254,3194,2092,1918,4052,2570,5874,3656,2252,1934,4050,5248,740,3084,1070,1456,1222,1774,1222,2948,2948,5182,4392,2668,0,1738,1492,4148,4208,2630,2728,1420,1992,1224,4942,2104,1702,2080,234,796,1050,3974,1786,1184,2728,2350,1592,2020,5360,3254,3106,2052,1514,2056,3106,2482,564,292,4112,2626,3338,3596,3338,5102,4870,4626,2116,5248,2228,1392,1934,2630,4026,4412,4218,3752,4230,3008,4810,1604,4026,1910,1274,712,1544,2100,1970,2028,712,2370,1392,2582,2032,1360
"67",29850,30310,26220,26502,30252,26384,30134,20844,24876,26680,21008,24758,29850,30310,24534,30252,21126,26160,21068,26102,26562,24758,26338,30134,30252,33518,32604,33180,29968,24876,29854,33344,19742,24702,30078,33068,33176,33696,33468,2636,2820,2880,2880,1778,1604,2858,1376,4136,2720,3104,1984,3174,4252,2094,4140,2688,2750,2960,3452,2636,2072,2072,4186,4018,1050,1738,0,1118,3834,3834,1316,1474,2152,2526,2902,4568,3458,2016,3196,1912,2150,2668,3660,3080,2922,1050,3202,2444,3196,4166,2880,2170,2466,2928,1180,2170,2048,1918,1970,2858,2192,2402,2720,2342,3424,3132,3008,1180,4252,3846,1382,2672,1376,2348,3978,3844,3318,2492,2072,3192,1978,2288,716,1264,1510,2402,3156,292,834,1450,3222,1866,3056,2082,2212
"68",30120,30409,26430,26601,30291,26483,30002,21054,24744,26488,20936,24797,30120,30238,24744,30120,21054,26430,21047,26312,26430,24566,26488,30173,30231,33617,32532,33390,30238,24855,30004,33272,19670,24681,30117,33218,33104,33504,33396,1866,2020,1786,1846,894,894,3028,1546,4814,2756,2956,2518,3050,4628,1324,4076,2038,1752,2482,2752,1926,1924,1924,4098,3364,2108,1492,1118,0,2950,2716,1546,2048,2528,2696,2422,3868,2758,3134,3452,1258,1032,2482,2950,2314,2038,2048,3518,2296,3512,4580,1960,2426,2696,2044,1496,2426,1282,1438,1200,2968,1786,2426,2816,2486,4190,4250,3602,1436,4628,2872,2036,3134,1486,2882,3154,3538,2494,3146,1864,4250,2512,2942,886,1918,2084,2572,3068,826,1004,2144,3074,1976,3410,3080,2528
"69",29732,29850,25982,26042,29672,25924,29725,20606,24467,26331,20719,24178,29732,30021,24296,29843,20837,26042,20548,25864,26153,24409,26160,29554,29732,33058,32315,32942,29850,24356,29676,33055,19453,24182,29498,32890,32887,33347,33179,3322,3902,4076,4016,2056,2890,3236,3542,4422,4542,4292,4634,5046,4236,4100,6132,3434,3322,4478,4364,3262,3260,3920,1382,3536,4104,4148,3834,2950,0,894,2942,4494,5244,4032,4694,3032,4370,5190,5898,4208,3982,4868,834,4544,3200,4164,5514,4952,5508,3798,3902,4872,4092,3206,4152,4542,3512,4040,3976,3296,3512,4542,4482,4542,3858,3858,826,4212,4566,5102,4752,5190,3602,1546,1928,3536,2588,3414,3980,4128,3968,1546,3542,4634,4860,4568,4464,3602,3660,4860,4410,4752,5196,5196,5184
"70",29732,30021,26042,26213,29903,26095,29614,20666,24356,26100,20548,24409,29732,29850,24356,29732,20666,26042,20659,25924,26042,24178,26100,29785,29843,33229,32144,33002,29850,24467,29616,32884,19282,24293,29729,32830,32716,33116,33008,3922,3416,3182,3242,2950,2290,3296,2942,3762,4482,5012,3914,4446,4566,4040,5472,4094,3808,4868,4478,3982,3980,3320,2042,2972,4494,4208,3834,2716,894,0,3602,4104,5244,4752,4478,3146,4484,5520,5508,3974,3748,4538,234,4700,4094,4434,5904,5012,5898,3858,3356,4482,4752,4100,4212,4812,3668,4154,3916,3236,3512,4812,4542,4872,4128,4188,1546,4152,4236,4268,4752,5520,2882,1486,2762,3146,2762,3414,3260,3858,4568,1546,3602,4634,4800,3968,5124,3542,3720,4860,5130,4692,5136,5466,5244
"71",30742,31202,27112,27394,31144,27276,31026,21736,25768,27572,21900,25650,30742,31202,25426,31144,22018,27052,21960,26994,27454,25650,27230,31026,31144,34410,33496,34072,30860,25768,30746,34236,20634,25594,30970,33960,34068,34588,34360,1744,2612,2672,2672,886,1372,2862,720,4352,2455,2265,2176,3019,4537,2522,3985,1796,1858,2960,3134,1744,1233,1893,3347,4580,1706,2630,1316,1546,2942,3602,0,1612,3097,1210,3464,4250,3140,2672,3811,2804,2578,3230,3428,3080,2030,1706,3487,2925,3481,3424,2672,2785,1150,2036,2125,2455,2048,2810,2398,2862,1874,2455,2455,2395,3848,3788,2540,2125,4867,3638,2234,2248,720,3200,3086,4406,3746,3344,1893,4178,1510,3140,720,2116,1978,1746,2317,1144,838,1918,2383,1870,2314,2738,3157
"72",30900,31360,27210,27552,31242,27434,31124,21834,25866,27610,22058,25748,30900,31360,25524,31242,22176,27210,21998,27092,27552,25688,27268,31124,31182,34568,33654,34170,31018,25806,30784,34394,20792,25632,31068,33998,34226,34626,34518,3236,1890,1830,1890,2438,1934,3424,1282,3630,1723,3817,2678,2237,4365,3024,3263,3408,3470,2630,2402,3296,2785,2455,4959,2968,1474,2728,1474,2048,4494,4104,1612,0,3255,2762,1852,3518,2408,2500,2199,2842,3080,1738,3990,2810,3582,1414,3255,3487,3249,2752,1830,1173,2762,3588,2223,2163,1778,2848,2900,3364,1262,2065,1783,2125,3458,3616,4092,2163,3375,2916,2856,1978,1222,3702,4698,2794,4368,3966,2395,2626,3002,3762,1282,2738,2016,2308,3929,1646,1400,2076,3935,2372,1582,2446,3255
"73",31260,31720,27630,27912,31662,27794,31544,22254,26286,28090,22418,26168,31260,31720,25944,31662,22536,27570,22478,27512,27972,26168,27748,31544,31662,34928,34014,34590,31378,26286,31264,34754,21152,26112,31488,34478,34586,35106,34878,1982,4230,4290,4290,3188,3014,4639,3157,6288,2632,952,2072,3086,4164,1440,2324,2370,2096,2642,3134,1982,1984,1984,4098,5428,3202,1420,2152,2528,5244,5244,3097,3255,0,2243,2584,5978,2804,2440,1380,1594,1496,2350,5070,2426,2604,3202,1050,292,1380,5947,4290,2082,2183,2274,1092,2082,3458,1264,1652,4639,3602,2314,2632,2254,5576,5284,5160,1092,4164,3528,1470,2725,3157,4500,5388,5254,4728,4644,1984,5344,2402,4440,2497,1352,1563,2455,1340,2444,2615,1503,1070,1583,2773,2170,60
"74",31952,32412,28202,28604,32234,28486,32116,22826,26858,28722,23110,26740,31952,32412,26516,32234,23228,28262,23110,28084,28544,26800,28380,32116,32294,35620,34706,35162,32070,26918,31896,35446,21844,26744,32060,35110,35278,35738,35570,830,3598,3598,3538,1976,2462,3952,1810,5338,3605,1291,1262,3885,5747,1608,3243,1042,1004,2322,2556,770,2323,2983,4321,5730,2796,1992,2526,2696,4032,4752,1210,2762,2243,0,2886,5400,2226,2154,3233,2226,1664,2712,4518,2226,1156,2856,2513,1951,2843,4514,3598,3935,60,826,3215,3605,3258,1896,1820,4012,3084,3605,3545,3605,4998,4998,3630,3275,6077,2896,1380,1730,1870,4350,4060,5556,4956,4554,3043,5268,932,4350,1810,1262,1400,1108,1563,2294,1928,1400,1173,956,1400,1824,2183
"75",31904,32022,28214,28214,31904,28096,31957,22838,26699,28443,22891,26410,31904,32193,26528,32075,23009,28214,22660,28096,28385,26521,28272,31786,31844,35230,34487,35174,32022,26468,31788,35227,21625,26294,31730,35002,35059,35459,35351,2056,2090,2204,2264,2638,2482,5276,3134,5058,2780,3146,2378,3294,5422,1844,2268,1904,2116,1126,550,2116,3842,3512,6016,3342,2902,1224,2902,2422,4694,4478,3464,1852,2584,2886,0,3718,880,1876,1204,1164,1726,234,4538,1456,1730,2842,2584,2816,2254,4604,2030,2230,2886,2060,3280,3220,2152,1320,1396,5216,1810,3122,2840,3182,4886,5044,5520,3220,4432,1238,2556,1778,3074,5130,4898,3342,4568,5394,3452,4054,2378,5190,3134,2438,1816,2108,2934,3074,3252,1876,3264,2496,1706,2146,2584
"76",30786,30904,27096,27096,30786,26978,30839,21720,25581,27325,21773,25292,30786,31075,25410,30957,21891,27096,21542,26978,27267,25403,27154,30668,30726,34112,33369,34056,30904,25350,30670,34109,20507,25176,30612,33884,33941,34341,34233,4570,3206,3320,3380,3424,3598,2438,4250,1890,3346,5660,5222,4410,2804,5018,5436,4742,4630,3744,3168,4630,4628,4628,4354,724,4568,4942,4568,3868,3032,3146,4250,3518,5978,5400,3718,0,3174,5594,4922,4882,4900,3952,3206,3750,4568,4508,5978,5990,5972,886,3146,3896,5400,4574,4946,4886,2718,4714,4894,2378,2376,3688,3406,3748,1168,2426,3858,4886,1814,4406,5730,4396,4190,4128,1400,724,1730,2556,4568,1436,5216,4188,4580,5612,5534,5276,5772,4520,4698,5594,5778,5670,4000,5540,5978
