"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97"
"83",1108,491,887,1325,707,635,1469,935,1145,707,1169,928,1108,1169,1408,1181,1187,1133,1342,1025,1571,1025,1625,1133,1127,1271,881,701,1469,1127,887,1031,881,1031,1571,1600,1510,1354,1552,820,1540,1438,1126,1294,1294,98,198,206,188,366,374,188,90,296,374,108,98,296,258,366,296,198,198,296,380,484,296,198,754,296,108,380,758,266,266,380,206,206,296,188,374,90,0,296,258,484,366,380,752,366,188,272,206,374,394,272,744
"84",904,370,682,1126,502,514,1270,736,946,502,1048,724,904,1048,1204,1060,982,928,1052,904,1372,904,1426,928,1006,1150,760,580,1270,1006,682,826,760,826,1372,1328,1214,1058,1268,524,1268,1166,842,1022,1022,296,374,188,198,188,296,374,380,276,188,188,198,108,296,188,90,380,266,374,296,212,198,272,482,168,296,168,546,296,380,188,90,296,266,276,380,374,296,0,296,302,296,276,566,296,108,296,198,272,302,276,566
"85",1018,569,791,1364,611,713,1508,974,1184,611,1247,838,1018,1247,1318,1259,1091,1037,1336,1103,1610,1103,1664,1037,1205,1349,959,779,1508,1205,791,935,959,935,1610,1600,1510,1354,1552,820,1540,1438,1126,1294,1294,272,366,380,98,108,296,188,168,380,296,366,188,296,168,276,206,276,366,296,206,484,206,276,754,380,366,296,674,188,188,206,296,380,296,272,296,258,258,296,0,394,276,296,674,108,188,98,296,296,484,188,654
"86",830,380,596,1172,416,524,1316,782,992,416,1058,650,830,1058,1130,1070,896,842,1146,914,1418,914,1472,842,1016,1160,770,590,1316,1016,596,740,770,740,1418,1206,1308,1152,1254,618,1146,1044,828,900,900,484,580,400,296,310,580,484,562,566,484,400,386,398,562,478,212,574,484,496,406,90,308,478,360,470,496,470,848,568,484,310,302,496,400,554,496,568,484,302,394,0,574,566,862,406,386,394,398,400,90,554,856
"87",1162,635,959,1400,779,779,1544,1010,1220,779,1313,982,1162,1313,1462,1325,1259,1205,1324,1169,1646,1169,1700,1205,1271,1415,1025,845,1544,1271,959,1103,1025,1103,1646,1612,1510,1354,1540,820,1552,1450,1114,1306,1306,296,258,296,374,276,20,380,276,188,128,366,380,188,108,108,374,168,366,272,266,496,266,276,766,296,258,128,506,128,296,374,380,188,380,296,188,366,366,296,276,574,0,20,506,168,296,374,272,296,580,128,486
"88",1156,622,952,1384,772,766,1528,994,1204,772,1300,976,1156,1300,1456,1312,1252,1198,1304,1156,1630,1156,1684,1198,1258,1402,1012,832,1528,1258,952,1096,1012,1096,1630,1592,1490,1334,1520,800,1532,1430,1094,1286,1286,296,266,296,366,296,20,374,296,168,128,380,366,168,128,128,366,188,374,266,272,476,258,296,746,276,272,108,486,128,296,380,366,188,374,276,188,374,380,276,296,566,20,0,506,188,276,380,258,296,566,108,506
"89",1385,898,1234,1378,1054,988,1522,988,1198,1054,1522,1205,1385,1522,1685,1588,1534,1480,1540,1432,1624,1432,1678,1480,1534,1624,1288,1108,1522,1534,1234,1378,1288,1378,1624,1390,1276,1120,1330,586,1330,1228,904,1084,1084,654,758,546,758,566,486,744,674,674,378,644,752,674,506,398,650,674,650,744,744,778,758,566,544,566,752,398,20,486,654,636,644,654,636,674,654,758,752,566,674,862,506,506,0,674,674,744,752,546,856,506,20
"90",1018,569,791,1364,611,713,1508,974,1184,611,1247,838,1018,1247,1318,1259,1091,1037,1336,1103,1610,1103,1664,1037,1205,1349,959,779,1508,1205,791,935,959,935,1610,1612,1510,1354,1540,820,1552,1450,1114,1306,1306,380,258,380,206,108,188,296,276,272,296,366,296,188,276,276,206,168,366,188,98,496,98,276,766,380,258,296,674,296,296,206,296,272,296,380,188,366,366,296,108,406,168,188,674,0,296,206,188,296,496,296,654
"91",1012,478,790,1234,610,622,1378,844,1054,610,1156,832,1012,1156,1312,1168,1090,1036,1160,1012,1480,1012,1534,1036,1114,1258,868,688,1378,1114,790,934,868,934,1480,1412,1322,1166,1364,632,1352,1250,938,1106,1106,188,374,296,90,296,296,266,272,276,296,296,90,108,188,296,198,380,374,374,296,296,198,380,566,276,296,276,654,188,272,296,198,296,374,168,380,266,188,108,188,386,296,276,674,296,0,188,198,380,386,168,674
"92",1025,574,784,1363,604,718,1507,973,1183,604,1252,845,1025,1252,1325,1264,1084,1030,1342,1108,1609,1108,1663,1030,1210,1354,964,784,1507,1210,784,928,964,928,1609,1600,1510,1354,1552,820,1540,1438,1126,1294,1294,258,296,366,98,206,366,90,266,296,366,380,188,296,266,374,206,374,296,198,108,484,206,374,754,296,380,380,758,258,90,108,296,366,198,188,198,188,272,296,98,394,374,380,744,206,188,0,296,198,484,272,752
"93",1018,400,790,1237,610,544,1381,847,1057,610,1078,838,1018,1078,1318,1090,1090,1036,1250,934,1483,934,1537,1036,1036,1180,790,610,1381,1036,790,934,790,934,1483,1514,1412,1256,1442,722,1454,1352,1016,1208,1208,206,188,206,198,296,266,380,296,258,374,206,108,90,380,380,198,188,296,272,188,398,90,296,668,366,98,366,744,374,374,296,108,98,380,366,266,296,206,198,296,398,272,258,752,188,198,296,0,374,308,366,758
"94",995,532,766,1327,586,676,1471,937,1147,586,1210,815,995,1210,1295,1222,1066,1012,1306,1066,1573,1066,1627,1012,1168,1312,922,742,1471,1168,766,910,922,910,1573,1600,1486,1330,1540,796,1540,1438,1114,1294,1294,276,296,168,296,188,276,198,380,296,168,266,374,380,296,188,188,380,188,198,198,484,296,272,754,188,374,188,566,276,108,90,266,276,90,296,108,296,374,272,296,400,296,296,546,296,380,198,374,0,478,296,566
"95",914,296,686,1133,506,440,1277,743,953,506,974,734,914,974,1214,986,986,932,1146,830,1379,830,1433,932,932,1076,686,506,1277,932,686,830,686,830,1379,1206,1308,1152,1254,618,1146,1044,828,900,900,394,496,310,386,400,574,568,484,566,478,310,296,398,568,484,302,496,400,580,496,90,398,400,360,470,406,470,848,562,562,400,212,406,484,554,574,484,394,302,484,90,580,566,856,496,386,484,308,478,0,554,862
"96",1156,622,952,1384,772,766,1528,994,1204,772,1300,976,1156,1300,1456,1312,1252,1198,1304,1156,1630,1156,1684,1198,1258,1402,1012,832,1528,1258,952,1096,1012,1096,1630,1580,1490,1334,1532,800,1520,1418,1106,1274,1274,188,374,296,258,296,128,266,188,276,128,380,258,276,20,128,366,296,374,374,380,464,366,296,734,276,380,108,486,20,188,380,366,296,374,168,296,266,272,276,188,554,128,108,506,296,168,272,366,296,554,0,506
"97",1378,905,1229,1382,1049,995,1526,992,1202,1049,1529,1198,1378,1529,1678,1595,1529,1475,1540,1439,1628,1439,1682,1475,1541,1631,1295,1115,1526,1541,1229,1373,1295,1373,1628,1390,1276,1120,1330,586,1330,1228,904,1084,1084,674,744,566,752,546,506,758,654,674,398,636,758,674,486,378,644,654,636,758,752,778,752,546,544,566,744,398,20,506,674,644,650,674,650,674,674,744,744,566,654,856,486,506,20,654,674,752,758,566,862,506,0
