"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97"
"41",1328,1430,1142,1118,1352,1538,974,1508,1298,1142,1148,1328,1148,1004,1058,950,872,818,906,1040,974,896,1028,716,896,902,1220,1220,1118,794,962,818,1040,962,872,1332,264,354,210,744,0,102,534,246,426,1540,1630,1456,1442,1456,1552,1618,1624,1532,1456,1456,1442,1364,1540,1456,1358,1636,1534,1630,1552,1056,1454,1540,786,1436,1552,1436,1310,1540,1624,1456,1358,1552,1534,1520,1636,1618,1540,1268,1540,1146,1552,1532,1330,1552,1352,1540,1454,1540,1146,1520,1330
"42",1226,1328,1040,1016,1250,1436,872,1406,1196,1040,1046,1226,1046,902,1058,950,872,818,906,938,974,794,1028,818,896,1004,1118,1118,1016,896,860,716,938,860,974,1230,264,252,210,642,102,0,432,144,324,1438,1528,1354,1340,1354,1450,1516,1522,1430,1354,1354,1340,1262,1438,1354,1256,1534,1432,1528,1450,954,1352,1438,684,1334,1450,1334,1208,1438,1522,1354,1256,1450,1432,1418,1534,1516,1438,1166,1438,1044,1450,1430,1228,1450,1250,1438,1352,1438,1044,1418,1228
"43",1082,1004,896,1052,926,1112,1196,1082,872,716,1226,902,1082,1226,1382,1274,1196,1142,1230,1118,1298,1118,1352,1142,1220,1328,974,794,1196,1220,896,1040,974,1040,1298,1014,588,432,426,318,534,432,0,288,288,1126,1192,1030,1028,1030,1114,1204,1210,1094,1030,1030,1028,926,1126,1030,932,1198,1108,1192,1114,738,1016,1114,468,1010,1114,1010,884,1126,1210,1030,932,1114,1108,1106,1198,1204,1126,842,1126,828,1114,1094,904,1114,938,1126,1016,1114,828,1106,904
"44",1082,1184,896,872,1106,1292,1016,1262,1052,896,1046,1082,902,1046,1202,1094,1016,962,1050,938,1118,938,1172,962,1040,1148,974,974,1016,1040,716,860,794,860,1118,1086,408,252,354,498,246,144,288,0,180,1294,1384,1210,1196,1210,1306,1372,1378,1286,1210,1210,1196,1118,1294,1210,1112,1390,1288,1384,1306,810,1208,1294,540,1190,1306,1190,1064,1294,1378,1210,1112,1306,1288,1274,1390,1372,1294,1022,1294,900,1306,1286,1084,1306,1106,1294,1208,1294,900,1274,1084
"45",902,1184,716,1052,1106,1292,1196,1262,1052,896,1226,1082,1082,1226,1382,1274,1196,1142,1230,1118,1298,1118,1352,1142,1220,1328,794,974,1196,1220,896,1040,974,1040,1298,1086,588,432,534,498,426,324,288,180,0,1294,1384,1210,1196,1210,1306,1372,1378,1286,1210,1210,1196,1118,1294,1210,1112,1390,1288,1384,1306,810,1208,1294,540,1190,1306,1190,1064,1294,1378,1210,1112,1306,1288,1274,1390,1372,1294,1022,1294,900,1306,1286,1084,1306,1106,1294,1208,1294,900,1274,1084
"46",1103,484,886,1324,706,628,1468,934,1144,706,1162,923,1103,1162,1403,1174,1186,1132,1336,1018,1570,1018,1624,1132,1120,1264,874,694,1468,1120,886,1030,874,1030,1570,1600,1510,1354,1552,820,1540,1438,1126,1294,1294,0,296,108,188,380,276,258,188,380,276,206,98,296,188,296,296,296,296,366,366,484,296,296,754,380,206,296,674,168,168,366,206,108,366,272,276,188,98,296,272,484,296,296,654,380,188,258,206,276,394,188,674
"47",1186,575,959,1400,779,719,1544,1010,1220,779,1253,1006,1186,1253,1486,1265,1259,1205,1414,1109,1646,1109,1700,1205,1211,1355,965,785,1544,1211,959,1103,965,1103,1646,1690,1588,1432,1618,898,1630,1528,1192,1384,1384,296,0,296,380,366,272,206,198,98,380,198,296,266,366,366,380,90,108,98,188,574,272,198,844,206,90,374,752,380,296,296,296,188,206,206,188,108,198,374,366,580,258,266,758,258,374,296,188,296,496,374,744
"48",995,376,778,1216,598,520,1360,826,1036,598,1054,815,995,1054,1295,1066,1078,1024,1228,910,1462,910,1516,1024,1012,1156,766,586,1360,1012,778,922,766,922,1462,1516,1402,1246,1456,712,1456,1354,1030,1210,1210,108,296,0,296,272,276,366,296,380,168,98,206,296,296,188,188,296,188,366,366,400,296,188,670,272,206,188,566,276,276,258,98,108,258,380,276,296,206,188,380,400,296,296,546,380,296,366,206,168,310,296,566
"49",934,484,700,1276,520,628,1420,886,1096,520,1162,754,934,1162,1234,1174,1000,946,1250,1018,1522,1018,1576,946,1120,1264,874,694,1420,1120,700,844,874,844,1522,1502,1412,1256,1454,722,1442,1340,1028,1196,1196,188,380,296,0,206,380,188,266,366,380,296,90,198,266,374,108,374,380,296,206,386,108,374,656,366,296,366,744,272,188,206,198,296,296,258,296,272,188,198,98,296,374,366,758,206,90,98,198,296,386,258,752
"50",910,461,683,1256,503,605,1400,866,1076,503,1139,730,910,1139,1210,1151,983,929,1228,995,1502,995,1556,929,1097,1241,851,671,1400,1097,683,827,851,827,1502,1516,1402,1246,1456,712,1456,1354,1030,1210,1210,380,366,272,206,0,296,296,276,380,188,258,296,296,276,168,98,276,258,296,206,400,206,168,670,272,366,188,566,296,296,98,188,380,188,380,296,366,366,188,108,310,276,296,566,108,296,206,296,188,400,296,546
"51",1169,628,964,1396,784,772,1540,1006,1216,784,1306,989,1169,1306,1469,1318,1264,1210,1324,1162,1642,1162,1696,1210,1264,1408,1018,838,1540,1264,964,1108,1018,1108,1642,1612,1510,1354,1540,820,1552,1450,1114,1306,1306,276,272,276,380,296,0,366,296,188,108,374,374,188,128,128,380,188,380,258,258,496,272,296,766,296,266,128,506,108,276,366,374,168,366,296,168,380,374,296,296,580,20,20,486,188,296,366,266,276,574,128,506
"52",1109,652,874,1435,694,796,1579,1045,1255,694,1330,929,1109,1330,1409,1342,1174,1120,1414,1186,1681,1186,1735,1120,1288,1432,1042,862,1579,1288,874,1018,1042,1018,1681,1678,1588,1432,1630,898,1618,1516,1204,1372,1372,258,206,366,188,296,366,0,188,206,366,296,272,374,272,380,296,296,206,108,198,562,296,296,832,206,296,374,752,258,90,198,380,366,108,98,198,98,188,374,188,484,380,374,744,296,266,90,380,198,568,266,758
"53",1174,569,959,1403,779,713,1547,1013,1223,779,1247,994,1174,1247,1474,1259,1259,1205,1414,1103,1649,1103,1703,1205,1205,1349,959,779,1547,1205,959,1103,959,1103,1649,1684,1594,1438,1636,904,1624,1522,1210,1378,1378,188,198,296,266,276,296,188,0,296,296,198,188,380,168,276,374,108,198,296,374,568,374,108,838,296,198,296,674,188,272,374,296,296,296,188,380,90,90,380,168,562,276,296,674,276,272,266,296,380,484,188,654
"54",1168,634,946,1384,766,778,1528,994,1204,766,1312,988,1168,1312,1468,1324,1246,1192,1316,1168,1630,1168,1684,1192,1270,1414,1024,844,1528,1270,946,1090,1024,1090,1630,1592,1490,1334,1520,800,1532,1430,1094,1286,1286,380,98,380,366,380,188,206,296,0,296,296,366,168,296,296,366,188,206,98,188,476,258,296,746,108,188,276,654,296,296,296,366,272,206,108,188,206,296,276,380,566,188,168,674,272,276,296,258,296,566,276,674
"55",1061,520,856,1288,676,664,1432,898,1108,676,1198,881,1061,1198,1361,1210,1156,1102,1216,1054,1534,1054,1588,1102,1156,1300,910,730,1432,1156,856,1000,910,1000,1534,1516,1402,1246,1456,712,1456,1354,1030,1210,1210,276,380,168,380,188,108,366,296,296,0,266,374,296,128,20,272,296,272,366,366,400,380,188,670,188,374,20,398,108,276,258,266,276,258,296,276,380,374,188,296,484,128,128,378,296,296,366,374,168,478,128,398
"56",1000,383,779,1217,599,527,1361,827,1037,599,1061,820,1000,1061,1300,1073,1079,1025,1234,917,1463,917,1517,1025,1019,1163,773,593,1361,1019,779,923,773,923,1463,1516,1402,1246,1456,712,1456,1354,1030,1210,1210,206,198,98,296,258,374,296,198,296,266,0,206,296,366,258,188,198,90,296,380,400,296,90,670,188,108,272,650,374,374,272,98,206,188,296,374,198,108,188,366,400,366,380,644,366,296,380,206,266,310,380,636
"57",1018,400,790,1237,610,544,1381,847,1057,610,1078,838,1018,1078,1318,1090,1090,1036,1250,934,1483,934,1537,1036,1036,1180,790,610,1381,1036,790,934,790,934,1483,1502,1412,1256,1454,722,1442,1340,1028,1196,1196,98,296,206,90,296,374,272,188,366,374,206,0,198,272,380,198,296,296,380,296,386,198,296,656,366,206,366,744,266,266,296,108,206,380,258,374,188,98,198,188,386,380,366,752,296,90,188,108,374,296,258,758
"58",1012,478,790,1234,610,622,1378,844,1054,610,1156,832,1012,1156,1312,1168,1090,1036,1160,1012,1480,1012,1534,1036,1114,1258,868,688,1378,1114,790,934,868,934,1480,1424,1322,1166,1352,632,1364,1262,926,1118,1118,296,266,296,198,296,188,374,380,168,296,296,198,0,296,296,198,272,374,266,188,308,90,380,578,276,188,276,654,296,380,296,198,188,374,276,272,374,296,108,296,398,188,168,674,188,108,296,90,380,398,276,674
"59",1162,635,959,1400,779,779,1544,1010,1220,779,1313,982,1162,1313,1462,1325,1259,1205,1324,1169,1646,1169,1700,1205,1271,1415,1025,845,1544,1271,959,1103,1025,1103,1646,1600,1510,1354,1552,820,1540,1438,1126,1294,1294,188,366,296,266,276,128,272,168,296,128,366,272,296,0,108,374,276,366,380,374,484,374,276,754,296,366,128,506,20,188,374,380,296,380,188,296,258,258,296,168,562,108,128,506,276,188,266,380,296,568,20,486
"60",1054,527,851,1292,671,671,1436,902,1112,671,1205,874,1054,1205,1354,1217,1151,1097,1216,1061,1538,1061,1592,1097,1163,1307,917,737,1436,1163,851,995,917,995,1538,1516,1402,1246,1456,712,1456,1354,1030,1210,1210,296,366,188,374,168,128,380,276,296,20,258,380,296,108,0,266,276,258,380,374,400,374,168,670,188,366,20,398,128,296,266,272,296,272,296,296,366,366,188,276,478,108,128,398,276,296,374,380,188,484,128,378
