"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173"
"80",40,40,40,40,44,40,42,40,38,40,40,44,42,44,44,38,38,42,44,18,4,18,6,6,20,22,44,36,8,40,8,38,44,40,12,14,44,38,40,44,10,12,10,42,46,40,48,44,44,22,14,48,46,42,20,42,14,12,10,8,12,6,6,14,8,14,16,12,10,18,14,12,10,6,8,14,10,10,10,0,14,42,42,40,10,40,42,26,12,14,18,14,10,10,46,24,24,14,44,42,10,12,42,16,44,42,42,38,10,12,22,42,42,40,48,36,12,16,14,42,40,42,44,42,38,24,20,46,44,26,44,14,12,10,10,14,8,12,10,12,8,8,10,16,14,6,10,6,8,2,10,10,10,6,4,8,8,6,6,10,14,10,8,8,8,6,6,8,6,8,8,4,10
"81",10,8,10,12,12,10,6,12,12,12,10,12,12,8,8,10,12,14,8,10,10,8,12,8,10,14,16,6,10,10,12,8,8,10,10,6,8,2,12,10,12,14,10,6,14,16,12,14,10,10,8,8,12,8,12,12,10,10,10,12,8,10,12,10,12,14,10,14,12,10,8,6,8,10,10,14,8,10,10,14,0,42,42,40,10,44,46,22,10,12,24,44,8,8,44,22,26,8,44,40,40,14,40,12,8,36,44,40,16,14,16,44,42,34,44,16,4,10,18,38,44,36,48,42,42,24,18,46,40,26,38,12,8,14,10,12,8,8,4,12,10,14,10,8,8,10,8,10,6,10,10,6,4,2,10,6,6,4,10,10,6,8,8,6,6,6,10,10,8,4,12,4,10
"82",10,8,6,12,6,12,10,10,14,10,4,10,44,42,40,36,38,44,46,10,4,38,6,42,8,10,10,44,46,10,6,6,10,40,42,42,8,12,10,14,10,10,44,48,14,12,8,44,8,40,36,38,40,38,42,42,44,42,38,42,44,38,40,36,40,38,38,40,42,40,38,40,40,42,38,44,42,36,40,42,42,0,6,38,6,42,42,22,12,14,22,42,16,10,40,22,26,6,38,34,38,16,40,12,10,36,46,42,12,42,18,46,42,38,44,36,42,14,12,40,42,40,48,42,40,28,18,50,2,28,42,14,16,14,12,10,6,12,12,12,6,14,6,8,14,14,4,4,6,8,8,10,4,6,6,10,6,12,6,6,12,10,10,8,6,6,10,10,8,10,8,10,8
"83",44,42,40,40,42,36,38,42,38,42,40,40,40,44,42,38,38,42,42,42,44,38,40,42,42,40,42,36,38,42,40,40,36,36,40,42,40,44,40,40,42,40,38,42,34,40,40,40,36,38,40,42,40,40,36,42,42,40,40,40,36,38,40,38,42,42,40,40,44,38,40,42,40,42,36,40,40,42,38,42,42,6,0,44,46,42,4,24,10,12,16,38,10,10,12,22,26,34,42,36,34,14,38,18,4,38,46,42,12,50,16,44,40,40,40,20,38,12,16,40,46,42,48,42,46,24,20,46,42,26,44,16,12,14,8,8,8,10,16,12,6,16,8,12,14,8,12,4,6,6,8,8,4,8,6,8,14,10,6,8,10,10,8,8,6,8,8,12,10,10,8,8,12
"84",48,44,42,40,40,42,48,10,8,42,10,46,12,14,12,46,48,14,6,10,10,40,42,44,4,8,10,16,10,10,46,48,16,8,12,48,12,44,40,42,40,40,46,44,44,44,42,42,46,38,42,36,40,42,42,40,42,42,42,42,40,44,42,42,40,40,44,40,40,42,44,42,42,42,40,40,42,38,44,40,40,38,44,0,48,38,40,28,6,6,16,18,12,10,12,20,24,38,40,44,14,16,40,14,14,40,44,42,20,46,16,48,44,42,44,16,44,12,12,38,44,36,44,42,44,24,16,50,38,26,44,12,14,10,14,16,10,8,14,14,16,14,6,12,12,8,12,4,4,4,10,2,10,12,8,6,12,10,8,6,12,10,2,8,4,6,8,6,10,12,10,12,8
"85",44,38,36,40,44,42,44,40,42,44,44,42,44,38,42,42,40,40,38,38,44,42,38,44,40,40,40,42,42,44,38,42,42,42,36,42,40,44,42,42,38,40,40,38,40,42,38,40,40,42,42,44,38,42,42,38,38,40,40,44,40,42,42,44,40,42,42,48,42,42,38,42,42,48,8,12,42,8,46,10,10,6,46,48,0,38,28,24,12,14,20,38,8,12,10,20,22,40,46,40,34,14,40,16,8,34,40,38,18,44,22,44,42,44,44,18,40,14,10,40,44,44,46,44,44,22,18,44,40,26,46,14,14,10,6,12,10,10,10,10,8,10,12,12,10,14,10,2,8,8,12,10,10,6,12,4,12,6,10,8,14,8,8,8,12,12,12,4,6,12,10,8,2
"86",12,10,4,6,40,42,44,4,6,6,12,8,6,46,48,14,4,8,48,10,44,40,40,38,40,46,44,42,42,40,42,46,40,42,36,40,44,44,42,42,42,40,42,42,44,42,40,38,38,42,38,40,42,44,40,40,40,42,42,40,38,42,42,38,40,42,42,40,38,40,42,44,44,38,40,44,42,40,44,40,44,42,42,38,38,0,22,26,8,18,20,16,14,10,40,26,20,6,44,40,18,16,42,18,10,42,42,38,16,8,18,46,40,42,44,6,38,12,14,42,42,40,46,44,40,30,16,50,42,18,44,14,16,8,12,8,10,12,10,12,12,16,10,8,14,16,2,6,8,8,8,12,8,6,14,6,12,6,8,10,14,8,8,6,6,10,6,4,6,8,8,8,10
"87",40,44,40,38,44,38,42,38,40,40,44,40,42,40,40,38,40,40,44,42,40,40,40,38,40,38,42,40,42,42,42,44,44,36,44,40,40,36,42,40,42,40,44,42,44,42,42,40,20,10,18,20,12,4,42,44,16,40,14,42,42,48,18,18,40,48,44,44,18,20,18,46,44,46,44,42,44,6,18,42,46,42,4,40,28,22,0,26,8,6,20,12,12,10,36,18,24,2,44,42,14,14,40,14,44,38,44,38,18,8,14,46,42,38,46,10,38,12,10,38,42,38,50,42,42,24,18,44,40,28,42,14,16,12,10,12,8,12,12,8,14,14,10,12,10,10,8,10,6,12,8,12,8,4,6,12,8,6,6,10,10,12,8,10,2,8,10,10,6,12,8,10,6
"88",26,20,22,20,20,30,24,26,26,26,28,28,24,22,28,20,26,24,24,22,20,28,22,24,28,24,22,22,28,26,26,24,24,24,24,26,28,24,24,24,24,26,26,28,24,24,28,26,22,28,24,24,20,22,26,22,20,22,20,22,24,28,24,24,20,30,26,26,26,28,26,20,24,26,22,22,28,22,24,26,22,22,24,28,24,26,26,0,10,12,18,12,14,14,44,18,24,10,40,38,16,12,34,12,50,42,46,40,18,8,20,44,42,38,46,12,14,14,14,40,42,36,48,42,42,30,16,46,44,24,42,16,10,6,6,14,12,10,4,8,12,16,6,10,10,8,2,4,10,14,10,4,6,8,6,6,12,10,8,8,14,6,4,6,10,10,12,10,14,6,12,6,12
"89",24,26,26,28,26,24,22,28,24,26,26,26,24,26,28,22,22,22,24,22,24,24,24,26,20,6,6,18,20,46,40,10,42,10,40,46,40,10,16,46,40,40,44,12,10,8,44,46,38,50,44,46,20,12,50,46,44,22,44,16,14,10,8,14,8,8,14,8,14,18,14,14,20,16,14,14,10,12,16,12,10,12,10,6,12,8,8,10,0,34,14,4,10,10,44,22,24,8,42,38,8,16,38,12,12,40,44,40,18,48,16,42,44,40,44,10,6,12,16,40,42,42,48,42,42,26,18,44,44,28,44,16,12,14,12,16,14,12,8,12,8,18,6,10,14,14,10,6,6,10,8,8,10,4,10,8,6,8,4,12,8,6,10,6,10,10,8,8,10,14,6,6,2
