"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72"
"13",304,1564,4172,152,1412,4324,152,11898,304,1260,11820,4172,0,8612,8538,11372,11298,11450,4020,12050,8690,11220,4324,1412,4172,152,11972,1564,27571,26707,27723,26859,28431,27719,28583,27567,29891,32036,29739,29031,34319,33307,33459,33163,33315,33027,34679,26713,26865,34831,32188,34167,34271,28879,32875,33907,34119,33759,34059,33607,27573,27725,17488,17336,14048,14126,14196,13904,14056,14274,13826,13978
"14",8612,7352,11664,8764,7504,11512,8764,3590,8612,7352,3512,11664,8612,0,230,4160,4390,4238,11512,3438,78,4312,11512,7504,11360,8460,3360,7352,33735,32871,33583,32719,34595,33579,34443,33731,35751,37444,35903,34891,39423,38715,38563,38571,38419,38131,40087,32877,32725,39935,37292,39575,39375,35043,38283,39315,39527,38863,39163,39015,33737,33585,25796,25948,22660,22738,22808,22516,22364,22886,22438,22286
"15",8842,7582,11590,8690,7430,11742,8690,3360,8842,7278,3438,11590,8538,230,0,4390,4160,4312,11438,3512,152,4238,11742,7430,11590,8690,3590,7582,33505,32641,33657,32793,34365,33653,34517,33501,35825,37214,35673,34965,39497,38485,38637,38341,38493,38205,39857,32647,32799,40009,37366,39345,39449,34813,38053,39085,39297,38937,39237,38785,33507,33659,25870,25718,22430,22508,22578,22286,22438,22656,22208,22360
"16",11372,11512,7504,11524,11664,7352,11524,1030,11372,11512,952,7504,11372,4160,4390,0,230,78,7352,878,4238,152,7352,11664,7200,11220,800,11512,37855,36991,37703,36839,38715,37699,38563,37851,34111,35804,34263,33251,37783,37075,36923,36931,36779,36491,38447,31237,31085,38295,35652,37935,37735,33403,36643,37675,37887,37223,37523,37375,32097,31945,28556,28708,25420,25498,25568,25276,25124,25646,25198,25046
"17",11602,11742,7430,11450,11590,7582,11450,800,11602,11438,878,7430,11298,4390,4160,230,0,152,7278,952,4312,78,7582,11590,7430,11450,1030,11742,37625,36761,37777,36913,38485,37773,38637,37621,34185,35574,34033,33325,37857,36845,36997,36701,36853,36565,38217,31007,31159,38369,35726,37705,37809,33173,36413,37445,37657,37297,37597,37145,31867,32019,28630,28478,25190,25268,25338,25046,25198,25416,24968,25120
"18",11450,11590,7582,11602,11742,7430,11602,952,11450,11590,1030,7582,11450,4238,4312,78,152,0,7430,800,4160,230,7430,11742,7278,11298,878,11590,37777,36913,37625,36761,38637,37621,38485,37773,34033,35726,34185,33173,37705,36997,36845,36853,36701,36413,38369,31159,31007,38217,35574,37857,37657,33325,36565,37597,37809,37145,37445,37297,32019,31867,28478,28630,25342,25420,25490,25198,25046,25568,25120,24968
"19",4324,4464,152,4172,4312,304,4172,8078,4324,4160,8000,152,4020,11512,11438,7352,7278,7430,0,8230,11590,7200,304,4312,152,4172,8152,4464,30503,29639,30655,29791,31363,30651,31515,30499,27063,29208,26911,26203,31491,30479,30631,30335,30487,30199,31851,23885,24037,32003,29360,31339,31443,26051,30047,31079,31291,30931,31231,30779,24745,24897,21508,21356,18068,18146,18216,17924,18076,18294,17846,17998
"20",12050,10790,8382,12202,10942,8230,12202,152,12050,10790,230,8382,12050,3438,3512,878,952,800,8230,0,3360,1030,8230,10942,8078,11898,78,10790,37017,36153,36865,36001,37877,36861,37725,37013,33273,34966,33425,32413,36945,36237,36085,36093,35941,35653,37609,30399,30247,37457,34814,37097,36897,32565,35805,36837,37049,36385,36685,36537,31259,31107,29078,29230,25942,26020,26090,25798,25646,26168,25720,25568
"21",8690,7430,11742,8842,7582,11590,8842,3512,8690,7430,3590,11742,8690,78,152,4238,4312,4160,11590,3360,0,4390,11590,7582,11438,8538,3438,7430,33657,32793,33505,32641,34517,33501,34365,33653,35673,37366,35825,34813,39345,38637,38485,38493,38341,38053,40009,32799,32647,39857,37214,39497,39297,34965,38205,39237,39449,38785,39085,38937,33659,33507,25718,25870,22582,22660,22730,22438,22286,22808,22360,22208
"22",11524,11664,7352,11372,11512,7504,11372,878,11524,11360,800,7352,11220,4312,4238,152,78,230,7200,1030,4390,0,7504,11512,7352,11372,952,11664,37703,36839,37855,36991,38563,37851,38715,37699,34263,35652,34111,33403,37935,36923,37075,36779,36931,36643,38295,31085,31237,38447,35804,37783,37887,33251,36491,37523,37735,37375,37675,37223,31945,32097,28708,28556,25268,25346,25416,25124,25276,25494,25046,25198
