"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135"
"11",26,26,28,32,30,30,24,28,32,30,0,20,26,26,28,24,28,8,18,36,28,34,34,32,4,22,22,26,24,10,30,28,28,6,26,30,26,8,28,24,4,28,24,28,24,22,6,30,28,16,26,32,20,22,6,26,8,26,28,28,38,24,26,30,8,26,22,26,22,20,22,18,26,28,24,24,32,28,28,32,4,34,38,28,26,34,30,30,18,20,32,32,36,36,32,40,10,16,18,8,10,10,16,18,12,2,20,18,14,12,8,14,16,14,24,8,16,8,14,10,10,18,14,12,18,14,10,12,14,14,12,12,16,10,12
"12",30,30,32,30,28,28,26,26,24,26,20,0,30,30,26,22,30,6,14,34,28,30,30,34,6,26,26,26,26,6,30,26,26,8,30,30,26,4,26,26,8,30,28,30,24,28,4,28,26,20,30,36,24,18,18,22,6,30,8,30,32,22,28,28,4,30,14,26,28,20,20,20,28,28,32,32,30,30,24,32,36,30,38,28,28,26,24,32,20,20,30,34,34,36,34,42,12,16,16,20,10,12,14,18,8,10,20,24,20,14,18,10,8,6,20,6,18,6,16,12,10,14,8,20,14,16,18,16,10,14,14,10,12,6,12
"13",26,26,26,24,24,26,32,30,28,32,26,30,0,26,26,28,28,8,8,34,28,32,32,32,10,26,28,22,32,6,24,24,22,2,30,24,26,6,26,22,6,30,26,28,26,28,6,30,24,6,30,24,28,20,20,26,6,28,4,36,34,26,26,32,6,22,14,22,24,22,24,8,24,26,24,34,28,28,28,32,34,36,28,26,26,28,20,30,18,22,28,32,36,34,36,34,10,18,18,14,8,12,14,18,12,10,14,8,10,16,10,12,4,14,14,12,16,10,14,12,8,10,10,14,18,16,14,20,10,12,16,14,16,10,12
"14",28,30,26,24,30,34,24,30,30,30,26,30,26,0,22,24,28,6,6,28,28,30,30,32,22,28,28,24,22,4,28,28,26,12,32,32,30,16,24,22,4,28,32,26,26,18,6,28,22,8,30,26,26,20,20,24,4,30,6,32,32,28,24,30,8,28,12,22,26,20,26,8,26,28,26,24,30,26,28,32,36,26,32,26,32,26,30,32,16,20,30,38,36,34,44,34,14,22,22,12,12,14,8,24,20,10,12,6,16,10,18,12,14,14,16,12,14,8,22,10,2,10,14,14,14,18,16,12,8,12,12,20,8,12,10
"15",30,34,24,26,26,28,28,24,24,28,28,26,26,22,0,30,8,10,18,32,30,34,26,8,20,28,26,26,20,14,32,32,24,6,32,32,24,20,22,26,6,26,30,4,24,22,2,26,24,6,26,28,24,20,20,30,14,26,6,30,32,28,10,32,10,28,20,26,22,24,26,10,28,26,24,24,28,14,30,32,36,30,34,28,28,28,22,34,20,24,28,34,32,6,36,34,12,20,10,14,6,8,16,22,12,4,14,16,12,16,18,10,16,14,12,14,10,12,20,8,16,14,6,16,14,12,8,14,8,4,18,14,10,8,14
"16",24,24,24,32,26,28,26,22,28,24,24,22,28,24,30,0,4,10,18,36,36,36,30,4,18,26,30,24,24,18,30,24,22,8,30,26,32,24,22,26,6,28,22,8,22,24,6,26,26,20,28,36,26,26,28,28,16,24,12,34,8,26,6,28,8,28,22,26,22,18,24,18,26,26,26,28,26,18,30,34,32,32,34,34,30,18,28,30,24,20,26,36,32,38,38,44,10,18,8,16,8,10,14,12,20,16,16,20,8,14,16,18,12,8,12,16,16,14,22,12,22,8,18,12,8,16,12,14,16,6,6,20,16,16,10
"17",20,24,26,26,30,32,24,24,24,34,28,30,28,28,8,4,0,8,16,34,32,28,28,6,6,24,26,26,30,22,28,30,22,6,28,30,24,8,24,24,6,34,26,6,24,24,4,28,32,16,30,28,26,22,26,20,18,30,10,30,6,30,10,30,16,24,20,24,30,20,28,14,28,26,10,26,26,20,26,40,32,32,34,32,26,14,26,30,16,26,26,32,30,38,36,38,8,20,18,18,6,16,8,14,16,18,20,20,10,8,20,18,8,10,10,16,10,14,16,14,14,20,12,14,12,14,20,20,16,6,14,16,14,12,10
"18",4,6,8,10,8,6,10,8,4,2,8,6,8,6,10,10,8,0,14,32,30,30,26,6,12,26,28,24,26,6,30,30,28,8,30,30,24,8,18,24,2,32,26,6,30,24,12,24,28,10,26,30,26,24,26,24,2,34,6,34,10,26,6,30,16,26,18,24,28,24,24,10,26,20,6,26,28,6,26,36,30,36,30,30,26,6,26,34,22,30,28,32,32,36,38,40,8,22,12,12,16,12,12,18,4,8,20,10,12,10,18,24,6,18,16,6,10,14,12,10,12,18,14,14,8,10,12,18,16,12,10,6,16,16,14
"19",10,6,6,4,14,14,18,2,6,6,18,14,8,6,18,18,16,14,0,34,34,28,26,6,8,32,26,22,28,6,30,30,24,8,36,30,30,12,22,20,8,30,26,6,28,20,8,22,30,10,32,28,24,22,24,24,6,24,8,30,8,28,6,24,22,24,28,20,26,20,26,6,24,22,20,22,24,2,26,34,32,38,32,34,34,6,24,34,22,24,24,40,34,38,40,38,8,2,12,22,12,20,10,16,12,14,20,14,16,18,16,12,16,8,14,12,6,16,16,14,14,14,6,10,14,12,12,6,14,10,8,10,16,12,14
"20",34,30,32,32,30,30,28,30,30,32,36,34,34,28,32,36,34,32,34,0,30,30,32,10,24,30,28,20,26,10,30,26,30,8,34,26,28,20,22,22,8,28,28,10,28,22,8,24,26,18,34,30,24,18,22,24,6,30,6,32,6,26,6,32,8,28,26,22,26,26,24,18,22,24,18,26,22,6,24,38,34,30,34,28,32,16,28,32,22,22,22,38,34,36,36,38,12,12,16,10,8,12,12,16,12,12,18,10,10,12,18,16,10,14,8,14,8,14,20,16,16,14,8,4,18,14,14,10,12,14,6,14,14,4,14
