"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
"27",10,6,22,22,24,22,18,12,20,8,8,10,12,8,24,28,22,20,22,24,20,20,2,22,22,22,0,16,18,12,1e-09,24,4,2,10,1e-09,16,24,22,14,20,20,2,2,12,14,10,10
"28",16,14,18,16,14,2,14,2,22,16,18,20,14,14,22,20,22,16,22,20,16,20,16,12,14,16,16,0,18,20,6,18,1e-09,1e-09,12,4,18,16,24,26,14,22,16,10,16,20,10,8
"29",18,28,14,18,16,24,22,1e-09,22,8,4,10,16,8,6,12,20,12,24,12,18,8,6,12,12,12,18,18,0,4,12,20,16,10,2,14,16,14,14,30,16,24,26,12,22,18,6,16
"30",26,18,14,18,16,14,14,16,6,10,20,24,24,16,18,20,16,22,8,4,10,8,16,14,8,24,12,20,4,0,12,22,26,6,6,24,24,8,24,20,18,20,16,2,4,26,20,14
"31",10,16,2,8,12,4,24,24,22,24,20,10,22,6,10,8,14,10,26,30,20,22,24,26,22,22,1e-09,6,12,12,0,18,18,20,12,18,22,8,22,22,20,20,16,4,24,24,30,14
"32",10,8,20,8,24,8,14,12,2,8,8,8,20,20,26,20,16,14,18,10,10,12,10,6,22,26,24,18,20,22,18,0,16,30,22,14,14,10,14,24,18,2,14,6,2,16,12,20
"33",22,4,6,6,4,2,14,2,18,14,8,6,8,2,2,14,18,20,20,20,18,8,18,4,4,6,4,1e-09,16,26,18,16,0,12,20,12,8,4,22,26,14,4,22,2,24,10,20,2
"34",14,22,20,16,10,12,10,4,16,4,12,10,4,12,10,4,4,10,22,24,14,24,22,4,22,2,2,1e-09,10,6,20,30,12,0,16,20,12,1e-09,14,22,18,12,20,20,22,22,18,8
"35",20,18,26,24,14,8,2,8,16,8,20,20,14,1e-09,14,8,8,20,14,16,18,20,18,14,18,10,10,12,2,6,12,22,20,16,0,18,4,14,14,22,10,20,14,24,24,20,26,4
"36",14,18,16,18,16,6,14,6,18,18,12,2,12,6,6,18,16,18,20,18,16,12,16,8,8,10,1e-09,4,14,24,18,14,12,20,18,0,24,18,12,4,10,22,12,12,18,22,24,18
"37",16,14,16,4,16,12,6,8,6,1e-09,4,12,20,22,18,22,20,6,20,2,2,4,6,2,18,28,16,18,16,24,22,14,8,12,4,24,0,20,18,14,12,18,24,4,20,16,14,22
"38",18,16,22,16,12,24,18,20,18,20,18,18,18,18,14,16,14,14,16,26,16,16,14,22,20,2,24,16,14,8,8,10,4,1e-09,14,18,20,0,18,12,2,22,24,4,8,18,8,8
"39",18,20,18,8,18,6,2,4,6,2,16,26,16,16,14,22,20,14,12,20,14,20,22,16,16,20,22,24,14,24,22,14,22,14,14,12,18,18,0,6,6,20,22,24,8,6,4,6
"40",20,30,12,20,18,26,24,2,20,6,20,6,12,14,1e-09,24,24,22,24,20,6,22,10,12,10,18,14,26,30,20,22,24,26,22,22,4,14,12,6,0,12,6,24,2,14,8,14,16
"41",8,6,22,24,16,24,22,1e-09,22,4,6,4,12,8,20,30,14,20,18,26,24,16,10,14,8,8,20,14,16,18,20,18,14,18,10,10,12,2,6,12,0,20,20,24,6,12,24,24
"42",22,20,16,14,18,16,18,16,6,10,6,22,22,24,22,18,12,20,8,8,10,12,8,24,28,22,20,22,24,20,20,2,4,12,20,22,18,22,20,6,20,0,6,22,6,4,18,4
"43",2,2,4,6,2,18,28,16,18,16,24,22,14,8,14,18,20,18,20,18,8,18,6,2,4,6,2,16,26,16,16,14,22,20,14,12,24,24,22,24,20,6,0,24,2,4,14,24
"44",22,10,12,10,18,14,26,30,20,22,24,26,22,22,4,4,10,8,4,22,6,22,20,22,16,18,2,10,12,2,4,6,2,20,24,12,4,4,24,2,24,22,24,0,6,4,12,26
"45",18,20,4,6,14,6,6,2,2,22,24,16,14,16,14,16,16,14,20,20,8,18,2,12,10,14,12,16,22,4,24,2,24,22,24,18,20,8,8,14,6,6,2,6,0,4,20,22
"46",22,24,22,2,22,20,22,16,18,6,10,12,2,4,6,2,20,20,22,4,6,4,12,8,20,30,14,20,18,26,24,16,10,22,20,22,16,18,6,8,12,4,4,4,4,0,18,22
"47",20,22,4,2,8,4,20,30,14,20,18,26,24,16,6,2,8,4,18,28,14,18,16,24,22,12,10,10,6,20,30,12,20,18,26,24,14,8,4,14,24,18,14,12,20,18,0,22
"48",16,14,16,26,18,16,14,22,20,16,10,10,10,4,2,6,4,18,26,20,12,12,6,8,28,30,10,8,16,14,14,20,2,8,4,18,22,8,6,16,24,4,24,26,22,22,22,0
