"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146"
"29",426,283,104,439,17,17,221,355,62,310,426,238,49,62,189,153,221,283,237,153,153,166,426,387,377,220,342,283,0,439,387,282,355,282,387,377,325,387,387,409,238,198,136,220,342,220,189,282,282,282,206,205,250,426,426,310,409,94,238,355,471,426,342,426,237,471,439,377,32,94,198,206,238,471,426,426,166,377,394,237,409,250,409,471,49,426,439,342,238,310,189,121,471,426,394,251,325,409,310,426,17,49,283,439,394,198,471,17,94,426,426,205,342,471,205,238,188,394,32,439,283,387,342,471,394,471,342,325,283,409,426,237,282,439,237,283,237,439,250,310,104,121,250,282,471,439
"30",266,409,335,318,422,439,282,273,377,318,283,454,454,422,250,367,282,454,350,350,367,318,283,116,62,283,161,409,439,0,350,350,273,350,116,146,367,161,161,367,265,350,367,283,178,367,250,305,221,221,250,318,318,350,161,335,94,454,454,129,305,367,367,161,283,32,129,251,471,409,350,233,454,221,367,266,273,335,45,283,283,234,94,350,454,266,189,350,282,146,439,318,161,178,251,233,178,178,318,178,422,454,265,84,129,305,266,439,409,94,283,251,350,116,335,471,251,146,471,234,265,305,178,77,234,116,367,367,220,367,77,367,305,318,266,409,266,273,189,129,335,335,273,266,221,45
"31",161,181,283,116,370,387,387,77,370,77,146,149,370,325,387,251,387,136,350,234,283,221,146,234,367,367,266,149,387,350,0,273,77,305,266,367,94,189,221,178,338,221,283,335,251,335,387,350,318,350,387,350,305,161,350,94,367,325,181,221,161,178,94,318,335,318,305,178,355,370,189,370,149,161,146,129,266,178,350,367,146,305,335,84,338,161,161,77,355,283,198,266,273,335,178,325,251,335,77,367,370,370,325,350,350,234,116,387,338,367,178,367,45,318,367,166,367,367,387,116,293,77,283,305,161,350,62,62,370,146,350,335,318,116,318,181,350,161,350,266,283,283,350,273,129,305
"32",350,454,178,221,265,282,471,350,265,350,335,422,265,220,471,146,471,409,77,129,178,116,335,318,367,178,350,422,282,350,273,0,350,32,350,283,367,273,305,283,422,116,178,146,335,62,471,77,129,161,471,77,32,266,266,367,367,220,454,305,266,283,367,234,146,318,221,367,250,265,84,454,422,350,251,318,161,283,350,178,335,116,335,189,233,350,350,350,439,367,471,161,189,251,367,409,335,251,350,283,265,265,409,266,266,129,305,282,233,367,367,178,318,234,94,439,178,283,282,305,377,350,367,305,350,266,335,335,454,251,350,62,45,221,129,454,161,266,161,350,178,178,77,84,318,305
"33",161,136,251,129,338,355,387,0,293,45,178,181,370,338,355,283,387,181,350,266,283,234,178,221,335,367,266,136,355,273,77,350,0,350,221,335,94,266,266,178,370,266,283,367,283,367,355,305,305,305,355,318,318,161,350,62,367,370,181,234,116,178,94,350,367,305,318,146,387,325,266,338,181,116,178,161,189,146,318,367,178,318,367,161,370,161,84,77,387,251,166,234,350,367,146,338,283,367,45,367,338,370,370,273,318,221,161,355,325,367,178,335,77,305,335,198,335,335,387,129,370,32,283,350,129,305,94,94,325,178,350,367,305,129,350,136,350,84,273,234,251,251,273,350,116,318
"34",318,422,178,221,265,282,439,350,265,350,367,454,233,220,471,178,439,377,45,161,146,116,367,350,367,146,318,454,282,350,305,32,350,0,318,283,335,305,273,251,454,84,146,178,367,94,471,45,161,129,471,77,32,234,234,367,335,188,422,305,234,251,335,266,178,350,221,367,282,233,116,454,454,318,283,350,161,283,350,146,367,116,367,221,265,318,350,318,471,367,471,161,221,283,367,409,367,283,350,251,265,233,377,266,266,161,273,282,265,335,335,178,350,266,94,471,178,283,250,305,409,318,335,273,350,234,367,367,422,283,318,94,77,221,161,422,129,266,161,350,178,178,77,116,350,305
"35",318,293,283,350,370,387,166,221,325,266,367,370,338,370,198,283,166,338,318,266,251,266,367,32,178,335,45,325,387,116,266,350,221,318,0,178,251,77,45,335,181,234,251,367,94,367,198,273,305,273,198,350,350,318,129,283,146,338,338,77,273,335,251,161,367,116,161,367,387,293,266,181,370,273,367,350,221,367,161,335,367,350,178,350,370,318,305,234,198,94,387,266,161,178,367,181,94,178,266,146,370,338,149,116,161,221,318,387,325,146,335,367,266,116,367,387,367,178,355,350,181,189,62,129,350,84,283,283,104,367,129,367,305,350,350,293,318,305,305,77,283,283,305,350,305,161
"36",322,471,273,251,394,394,220,335,439,290,322,426,426,439,188,322,220,471,238,322,322,335,322,178,84,305,133,471,377,146,367,283,335,283,178,0,305,178,178,221,237,367,305,305,133,221,188,283,367,367,205,206,251,238,49,290,116,471,426,146,283,238,322,49,322,178,62,273,409,471,367,205,426,367,238,322,335,189,101,322,305,335,116,283,426,322,335,322,237,101,377,290,94,49,290,250,116,32,290,49,394,426,282,62,17,367,367,394,471,133,322,290,322,94,206,426,273,17,409,335,282,367,133,178,290,94,322,305,282,221,133,238,283,251,322,471,322,251,335,101,273,290,251,367,367,146
"37",101,166,221,178,342,342,293,94,387,49,133,153,310,387,325,238,293,166,290,238,206,283,133,283,305,273,206,198,325,367,94,367,94,335,251,305,0,283,251,84,342,251,189,305,238,305,325,335,367,335,342,322,367,101,290,49,273,355,121,283,146,101,17,322,322,367,367,116,325,355,283,342,153,146,133,133,283,116,322,290,116,367,305,178,342,101,178,17,342,238,136,238,367,322,133,387,221,305,49,290,342,310,355,367,322,283,146,342,387,290,101,322,49,367,322,153,305,322,293,178,387,62,206,335,133,335,49,32,355,116,290,322,367,178,322,166,290,178,367,238,221,238,367,367,178,367
"38",350,370,283,305,370,387,198,266,370,266,335,338,370,325,198,251,198,325,350,234,283,221,335,45,178,367,77,338,387,161,189,273,266,305,77,178,283,0,32,367,149,221,283,335,62,335,198,350,318,350,198,350,305,350,161,283,178,325,370,32,350,367,283,129,335,129,116,367,355,370,189,181,338,350,335,318,266,367,161,367,335,305,146,273,338,350,350,266,166,94,387,266,84,146,367,136,62,146,266,178,370,370,136,161,161,234,305,387,338,178,367,367,234,129,367,355,367,178,387,305,104,266,94,116,350,161,251,251,181,335,161,335,318,305,318,370,350,350,350,77,283,283,350,273,318,116
"39",318,338,283,305,370,387,166,266,370,266,367,370,338,325,198,283,166,293,318,266,251,221,367,77,178,335,45,370,387,161,221,305,266,273,45,178,251,32,0,335,181,189,251,367,94,367,198,318,350,318,198,350,305,318,129,283,146,293,338,32,318,335,251,161,367,161,116,367,387,338,221,181,370,318,367,350,266,367,161,335,367,305,178,305,370,318,350,234,198,94,387,266,116,178,367,136,94,178,266,146,370,338,104,161,161,266,273,387,370,146,335,367,266,161,367,387,367,178,355,305,136,234,62,84,350,129,283,283,149,367,129,367,350,305,350,338,318,350,350,77,283,283,350,305,350,116
"40",101,250,305,94,426,426,377,178,471,133,133,237,394,471,409,322,377,250,206,322,290,367,133,367,305,273,290,282,409,367,178,283,178,251,335,221,84,367,335,0,426,335,273,305,322,221,409,251,367,335,426,238,283,17,206,133,273,439,205,367,62,17,101,238,322,367,283,116,409,439,367,426,237,146,49,133,367,32,322,290,116,367,305,94,426,101,178,101,426,322,220,322,283,238,133,471,305,221,133,206,426,394,439,283,238,367,146,426,471,290,101,322,133,283,238,237,305,238,377,178,471,146,290,335,133,251,133,116,439,32,290,238,283,94,322,250,290,94,367,322,305,322,283,367,178,367
"41",409,266,342,454,221,238,49,370,266,325,394,189,221,266,49,310,49,266,409,293,342,370,394,149,237,426,136,234,238,265,338,422,370,454,181,237,342,149,181,426,0,370,342,394,121,394,49,454,422,454,49,409,454,409,220,342,237,266,221,181,454,426,342,188,394,233,265,426,206,266,338,32,189,454,394,377,370,426,220,426,394,454,205,422,189,409,454,325,17,153,238,325,233,205,426,77,121,205,325,237,221,221,77,265,220,338,454,238,234,237,426,426,293,233,426,206,426,237,238,454,45,370,153,265,409,265,310,310,77,394,220,394,422,454,377,266,409,454,454,136,342,342,454,422,422,265
"42",318,338,94,305,181,198,355,266,181,266,367,370,149,136,387,94,355,293,129,77,62,32,367,266,367,146,234,370,198,350,221,116,266,84,234,367,251,221,189,335,370,0,62,178,283,178,387,129,161,129,387,161,116,318,318,283,335,104,338,221,318,335,251,350,178,350,305,367,198,149,32,370,370,318,367,350,77,367,350,146,367,116,367,305,181,318,350,234,387,283,387,77,305,367,367,325,283,367,266,335,181,149,293,350,350,77,273,198,181,335,335,178,266,350,178,387,178,367,166,305,325,234,251,273,350,318,283,283,338,367,318,178,161,305,161,338,129,350,161,266,94,94,161,116,350,305
"43",290,355,32,367,153,153,293,283,198,238,322,342,121,198,325,49,293,355,101,49,17,94,322,283,305,84,206,387,136,367,283,178,283,146,251,305,189,283,251,273,342,62,0,116,238,116,325,146,178,146,342,133,178,290,290,238,273,166,310,283,335,290,206,322,133,367,367,305,136,166,94,342,342,335,322,322,94,305,322,101,305,178,305,367,153,290,367,206,342,238,325,49,367,322,322,387,221,305,238,290,153,121,355,367,322,94,335,153,198,290,290,133,238,367,133,342,116,322,104,367,387,251,206,335,322,335,238,221,355,305,290,133,178,367,133,355,101,367,178,238,32,49,178,178,367,367
"44",238,471,116,367,237,237,409,367,282,322,206,394,237,282,409,101,409,471,133,101,133,178,206,335,221,32,322,439,220,283,335,146,367,178,367,305,305,335,367,305,394,178,116,0,290,84,409,178,62,94,426,133,178,322,322,322,221,282,426,367,367,322,322,290,17,251,367,221,188,282,146,426,394,283,290,206,178,305,238,49,189,94,189,335,205,238,283,322,394,322,409,133,335,290,238,471,273,273,322,322,237,237,471,367,322,146,283,237,250,238,238,49,290,335,133,394,32,322,220,283,439,367,322,283,238,367,290,273,471,273,238,101,146,367,17,471,49,367,94,322,116,133,178,62,251,283
"45",322,387,238,367,342,325,153,283,387,238,273,310,342,387,153,189,153,387,322,206,221,283,273,62,133,322,49,355,342,178,251,335,283,367,94,133,238,62,94,322,121,283,238,290,0,290,153,367,335,367,136,322,367,322,133,221,133,387,342,94,367,305,221,101,273,146,178,322,310,387,251,153,310,367,273,290,283,322,133,305,290,367,101,335,310,322,367,238,104,32,342,238,146,84,305,198,17,101,238,116,342,342,198,178,133,251,367,325,355,116,305,305,206,146,305,293,322,116,342,367,166,283,32,178,322,178,189,206,198,290,133,273,335,367,290,387,322,367,367,49,238,221,367,335,335,178
"46",322,471,116,283,237,237,409,367,282,322,290,394,237,282,409,101,409,471,49,101,133,178,290,335,305,116,322,439,220,367,335,62,367,94,367,221,305,335,367,221,394,178,116,84,290,0,409,94,146,178,426,49,94,238,238,322,305,282,426,367,283,238,322,206,101,335,283,305,188,282,146,426,394,367,206,290,178,221,322,133,273,178,273,251,205,322,367,322,394,322,409,133,251,206,322,471,273,189,322,238,237,237,471,283,238,146,367,237,250,322,322,133,290,251,49,394,116,238,220,367,439,367,322,367,322,283,290,273,471,189,322,17,62,283,101,471,133,283,178,322,116,133,94,146,335,367
"47",426,283,293,439,206,206,32,355,251,310,426,238,238,251,0,342,32,283,426,342,342,355,426,198,188,409,153,283,189,250,387,471,355,471,198,188,325,198,198,409,49,387,325,409,153,409,0,471,471,471,17,394,439,426,237,310,220,283,238,166,471,426,342,237,426,282,250,377,221,283,387,17,238,471,426,426,355,377,205,426,409,439,220,471,238,426,439,342,49,121,189,310,282,237,394,62,136,220,310,237,206,238,94,250,205,387,471,206,283,237,426,394,342,282,394,238,377,205,221,439,94,387,153,282,394,282,342,325,94,409,237,426,471,439,426,283,426,439,439,121,293,310,439,471,471,250
