"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72"
"53",30,32,34,28,30,6,2,6,6,4,30,30,28,28,30,28,28,30,30,32,32,30,32,34,32,36,34,32,36,30,28,34,30,34,34,32,34,36,36,32,34,34,30,28,26,28,30,32,32,30,28,34,0,6,26,34,34,24,16,18,18,30,10,8,2,4,28,12,12,22,12,4
"54",28,26,8,6,8,2,26,26,28,28,26,28,28,26,32,30,30,32,34,32,34,34,36,34,34,28,30,36,32,32,36,30,32,34,34,34,36,32,28,30,26,24,26,28,28,26,28,30,24,26,4,4,6,0,28,32,36,26,14,16,16,32,12,14,8,8,30,12,8,24,28,2
"55",30,30,28,28,30,28,28,30,30,32,32,30,32,34,32,34,32,30,36,30,28,34,30,34,32,32,32,34,34,30,32,32,30,28,26,28,30,32,32,30,28,34,28,26,6,4,28,28,26,26,28,26,26,28,0,30,36,28,20,14,20,32,10,4,2,8,30,12,10,26,30,6
"56",30,32,32,30,32,34,32,34,32,30,36,30,28,34,30,34,32,32,32,34,34,30,32,32,30,28,22,24,26,28,28,26,24,30,24,22,6,32,32,30,30,32,30,30,32,32,32,34,32,32,34,32,34,32,30,0,32,22,18,18,18,30,6,10,4,4,28,14,10,20,30,8
"57",36,32,30,34,30,34,32,34,32,34,34,30,32,32,32,30,28,30,32,34,34,32,30,36,30,28,28,28,26,26,28,26,26,28,30,32,32,30,32,34,32,36,34,32,36,30,28,34,30,34,34,32,34,36,36,32,0,24,16,20,16,28,10,4,10,6,26,10,16,22,32,8
"58",34,34,30,28,24,26,28,30,30,28,26,32,26,24,2,2,4,4,8,6,6,16,18,14,12,20,14,16,18,20,18,20,8,10,22,20,18,22,10,16,20,20,20,22,18,12,14,22,20,24,26,26,24,26,28,22,24,0,22,24,16,34,8,8,6,6,32,4,14,4,32,10
"59",4,2,6,6,8,4,18,16,16,14,18,12,14,16,18,16,18,10,12,20,18,16,20,12,14,18,18,18,20,16,14,16,20,18,22,24,24,22,24,26,20,22,2,6,6,4,8,14,20,16,10,18,16,14,20,18,16,22,0,26,16,28,4,10,8,12,26,6,18,4,30,4
"60",10,8,20,18,20,20,12,18,22,22,18,20,20,14,12,20,22,26,28,28,26,24,30,24,22,8,4,6,6,16,18,18,12,16,14,12,18,16,14,20,12,10,18,16,18,18,14,16,20,20,16,18,18,16,14,18,20,24,26,0,14,26,2,8,6,10,24,24,20,4,28,4
"61",26,24,22,28,22,20,4,2,2,12,22,10,16,16,18,20,20,22,20,16,12,14,18,24,14,20,14,18,20,18,18,22,16,8,10,26,24,28,30,30,28,30,32,26,28,2,2,12,22,14,16,12,18,16,20,18,16,16,16,14,0,14,26,8,2,22,8,22,20,6,34,6
"62",14,20,14,16,18,18,20,18,14,18,16,12,10,22,24,28,30,30,28,26,32,26,24,4,10,24,12,14,14,20,18,22,20,18,18,14,12,16,22,16,18,16,20,22,20,16,20,18,10,8,24,26,30,32,32,30,28,34,28,26,14,0,28,12,6,24,10,24,22,2,28,2
