"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130"
"21",588,112,504,342,508,474,454,396,0,84,510,396,588,112,504,342,508,474,454,396,0,84,510,396,588,112,504,454,504,508,426,342,342,396,510,426,454,558,426,454,454,454,342,426,474,112,454,504,192,504,558,588,142,426,424,508,504,426,114,426,142,396,426,424,558,454,480,504,162,538,538,396,454,538,396,510,538,426,396,510,510,312,426,426,192,396,454,312,114,426,588,426,342,30,112,192,508,30,538,424,510,588,342,510,396,588,474,342,426,192,508,114,504,510,538,504,480,508,114,0,588,588,510,84,504,424,474,162,480,588
"22",672,196,588,426,592,558,538,396,84,0,510,480,672,196,588,426,592,558,538,396,84,0,510,480,672,196,588,538,588,592,510,426,426,312,510,426,538,642,426,538,538,538,426,342,558,196,538,588,276,588,642,672,226,342,508,592,588,510,30,426,226,480,426,508,642,538,480,588,246,622,622,396,538,622,480,510,622,510,312,510,510,396,342,342,276,312,538,396,114,426,672,510,426,114,196,276,592,114,622,508,426,672,426,426,396,672,558,426,510,276,592,114,588,510,622,588,396,592,30,84,672,672,426,84,588,508,558,246,480,672
"23",276,622,642,198,310,360,310,114,510,510,0,198,276,622,642,198,310,360,310,114,510,510,0,198,276,622,330,310,642,310,168,168,480,510,30,84,592,360,396,310,622,280,510,198,360,622,280,672,642,330,276,276,622,480,622,226,330,84,510,426,592,114,84,310,276,622,30,360,672,310,310,426,310,280,198,30,196,114,198,84,114,198,510,168,672,510,592,510,396,114,276,168,198,510,622,672,310,480,280,622,84,330,480,168,114,246,672,168,198,642,310,426,360,0,226,642,114,226,480,510,360,360,198,426,672,310,672,672,114,330
"24",276,508,588,114,112,246,226,168,396,480,198,0,276,508,588,114,112,246,226,168,396,480,198,0,276,508,276,226,588,112,30,114,426,480,198,198,538,162,510,226,538,226,426,198,246,508,226,588,588,276,246,276,538,510,508,196,276,114,510,510,538,84,198,196,246,538,168,276,558,142,142,480,226,142,0,198,226,114,168,114,114,84,510,198,588,480,538,396,510,198,276,30,114,426,508,588,112,426,142,508,198,192,426,114,168,276,558,114,30,588,112,510,276,198,226,588,168,196,510,396,192,192,114,480,588,196,558,558,84,192
"25",0,700,588,246,388,114,358,360,588,672,276,276,0,700,588,246,388,114,358,360,588,672,276,276,0,700,276,358,426,388,276,276,588,672,246,360,700,276,672,358,670,388,558,330,276,700,388,396,588,276,30,162,670,672,700,304,114,192,642,642,700,192,360,388,192,670,276,84,426,358,358,672,358,388,276,246,304,162,360,360,330,276,642,360,396,672,700,588,672,330,0,276,246,558,700,558,388,588,388,700,276,114,588,360,360,192,588,276,246,426,388,642,246,276,274,426,276,304,672,588,84,246,330,672,558,388,426,588,360,276
"26",700,0,616,454,396,586,454,508,112,196,622,508,700,0,616,454,396,586,454,508,112,196,622,508,700,0,616,342,616,396,538,454,454,508,622,538,342,670,538,454,342,342,454,538,586,112,454,616,304,616,670,700,142,538,424,396,616,538,226,538,30,508,538,424,670,454,592,616,274,426,538,508,342,426,508,622,538,538,508,622,622,424,538,538,304,508,454,424,226,538,700,538,454,142,0,304,396,142,538,312,622,700,454,622,508,700,586,454,538,304,508,226,616,622,426,616,592,508,226,112,700,700,622,196,616,312,586,274,592,700
"27",276,616,312,192,388,192,304,276,504,588,330,276,276,616,312,192,388,192,304,276,504,588,330,276,276,616,0,304,474,388,246,162,474,588,360,246,586,114,558,304,616,274,504,276,30,616,274,504,312,0,276,114,616,558,616,388,162,246,588,588,586,276,246,304,114,616,360,192,504,388,388,588,304,358,276,360,358,276,276,330,360,192,588,246,504,588,586,504,558,276,276,246,192,504,616,342,388,474,358,616,330,246,474,330,276,84,342,162,276,474,388,588,30,330,388,474,360,388,558,504,276,114,360,588,342,304,504,342,360,84
"28",358,342,616,112,114,304,112,226,454,538,310,226,358,342,616,112,114,304,112,226,454,538,310,226,358,342,304,0,616,114,226,142,454,538,280,226,342,388,538,112,312,30,424,196,304,454,142,586,616,304,388,358,424,538,454,114,304,226,508,508,342,226,226,142,388,424,310,274,616,84,196,538,0,114,226,280,226,196,226,310,280,142,508,226,586,538,454,454,538,196,358,226,112,424,342,586,114,454,226,342,310,388,454,310,226,388,616,142,196,616,226,508,274,310,84,616,310,226,538,454,358,358,280,538,586,30,616,616,310,388
"29",426,616,162,504,700,342,616,588,504,588,642,588,426,616,162,504,700,342,616,588,504,588,642,588,426,616,474,616,0,700,558,474,162,276,672,558,274,588,246,616,304,586,192,588,504,616,586,30,474,474,426,588,616,246,304,700,312,558,588,276,586,588,558,616,588,304,672,342,342,700,700,276,616,670,588,672,670,588,588,642,672,504,276,558,342,276,274,192,558,588,426,558,504,504,616,504,700,474,670,304,642,396,162,642,588,558,192,474,588,312,700,588,504,642,700,0,672,700,558,504,426,588,672,588,192,616,30,504,672,558
"30",388,396,700,226,0,358,226,280,508,592,310,112,388,396,700,226,0,358,226,280,508,592,310,112,388,396,388,114,700,0,142,226,538,592,310,310,426,274,622,226,426,114,538,310,358,508,226,700,700,388,358,388,538,622,508,84,388,226,622,622,426,196,310,196,358,538,280,388,670,30,142,592,114,30,112,310,226,226,280,226,226,196,622,310,700,592,538,508,622,310,388,142,226,538,396,700,0,538,142,396,310,304,538,226,280,388,670,226,142,700,112,622,388,310,114,700,280,196,622,508,304,304,226,592,700,84,670,670,196,304
"31",276,538,558,114,142,276,226,198,426,510,168,30,276,538,558,114,142,276,226,198,426,510,168,30,276,538,246,226,558,142,0,84,396,510,198,168,508,192,480,226,538,196,426,198,276,538,196,588,558,246,276,276,538,480,538,226,246,84,510,510,508,114,168,226,276,538,198,276,588,142,142,510,226,112,30,198,196,114,198,84,114,114,510,168,588,510,508,426,480,198,276,0,114,426,538,588,142,396,112,538,168,162,396,84,198,246,588,84,30,558,142,510,276,168,226,558,198,226,480,426,192,192,114,510,588,226,588,588,114,162
"32",276,454,474,30,226,192,142,114,342,426,168,114,276,454,474,30,226,192,142,114,342,426,168,114,276,454,162,142,474,226,84,0,312,426,198,84,424,276,396,142,454,112,342,114,192,454,112,504,474,162,276,276,454,396,454,226,162,84,426,426,424,114,84,142,276,454,198,192,504,226,226,426,142,196,114,198,196,114,114,168,198,30,426,84,504,426,424,342,396,114,276,84,30,342,454,504,226,312,196,454,168,246,312,168,114,246,504,0,114,474,226,426,192,168,226,474,198,226,396,342,276,276,198,426,504,142,504,504,198,246
"33",588,454,162,342,538,504,454,426,342,426,480,426,588,454,162,342,538,504,454,426,342,426,480,426,588,454,474,454,162,538,396,312,0,114,510,396,112,588,84,454,142,424,30,426,504,454,424,192,474,474,588,588,454,84,142,538,474,396,426,114,424,426,396,454,588,142,510,504,504,538,538,114,454,508,426,510,508,426,426,480,510,342,114,396,504,114,112,30,396,426,588,396,342,342,454,504,538,312,508,142,480,558,0,480,426,558,192,312,426,474,538,426,504,480,538,162,510,538,396,342,588,588,510,426,192,454,192,504,510,558
"34",672,508,276,426,592,558,538,396,396,312,510,480,672,508,276,426,592,558,538,396,396,312,510,480,672,508,588,538,276,592,510,426,114,0,510,426,226,642,114,538,226,538,114,342,558,508,538,276,588,588,642,672,538,30,196,592,588,510,342,114,538,480,426,508,642,226,480,588,558,622,622,84,538,622,480,510,622,510,312,510,510,396,30,342,588,0,226,84,426,426,672,510,426,426,508,588,592,426,622,196,426,672,114,426,396,672,246,426,510,588,592,426,588,510,622,276,396,592,342,396,672,672,426,396,276,508,246,558,480,672
"35",246,622,672,168,310,360,280,114,510,510,30,198,246,622,672,168,310,360,280,114,510,510,30,198,246,622,360,280,672,310,198,198,510,510,0,114,622,360,426,280,592,310,480,168,360,622,310,642,672,360,276,246,592,510,622,226,360,114,480,396,622,114,114,310,276,592,30,330,672,280,280,426,280,310,198,0,226,84,198,114,84,198,480,198,642,510,622,510,426,84,246,198,168,480,622,642,310,510,310,622,114,360,510,198,114,276,672,198,168,672,310,396,330,30,196,672,114,226,510,510,330,330,168,426,642,310,672,672,114,360
"36",360,538,558,114,310,276,226,30,426,426,84,198,360,538,558,114,310,276,226,30,426,426,84,198,360,538,246,226,558,310,168,84,396,426,114,0,508,360,312,226,538,196,426,114,276,538,196,588,558,246,360,360,538,396,538,310,246,168,426,342,508,198,0,226,360,538,114,276,588,310,310,342,226,280,198,114,280,198,114,84,114,114,426,84,588,426,508,426,312,30,360,168,114,426,538,588,310,396,280,538,168,330,396,168,30,330,588,84,198,558,310,342,276,84,310,558,198,310,396,426,360,360,198,342,588,226,588,588,114,330
"37",700,342,274,454,426,616,454,538,454,538,592,538,700,342,274,454,426,616,454,538,454,538,592,538,700,342,586,342,274,426,508,424,112,226,622,508,0,700,196,454,30,312,142,538,616,454,424,304,586,586,700,700,454,196,142,426,586,508,538,226,312,538,508,454,700,142,622,616,616,426,538,226,342,396,538,622,508,538,538,592,622,454,226,508,616,226,112,142,508,538,700,508,454,454,342,616,426,424,508,30,592,670,112,592,538,670,304,424,538,586,538,538,616,592,426,274,622,538,508,454,700,700,622,538,304,342,304,616,622,670
