"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
"30",237,72,21144,21072,21000,21167,20667,23840,21072,23396,23768,23912,21311,20595,20630,20795,21239,21144,20739,21000,24384,21783,20630,23840,21239,20739,24384,989,2189,0,2426,1850,21783,2354,21167,20667,20595,20795,21311,884,2954,165,1154,1049,2261,1685,21072,23768
"31",2333,2498,22552,22624,22696,22695,22259,23658,22624,22230,23730,23586,22551,22331,21360,21195,22623,22552,22187,22696,24486,23451,21360,23658,22623,22187,24486,1473,237,2426,0,612,23451,72,22695,22259,22331,21195,22551,1542,870,2261,1308,1377,165,777,22624,23730
"32",1757,1922,21976,22048,22120,22119,21683,23046,22048,21618,23118,22974,21975,21755,20784,20619,22047,21976,21611,22120,23874,22875,20784,23046,22047,21611,23874,861,705,1850,612,0,22875,540,22119,21683,21755,20619,21975,966,1470,1685,696,801,777,165,22048,23118
"33",21690,21855,8562,8490,8418,3168,3636,5841,8490,7449,5769,5913,3312,3564,5013,4848,3240,8562,3708,8418,2601,0,5013,5841,3240,3708,2601,22344,23544,21783,23451,22875,0,23379,3168,3636,3564,4848,3312,22239,24309,21618,22179,22074,23616,23040,8490,5769
"34",2261,2426,22480,22552,22624,22623,22187,23586,22552,22158,23658,23514,22479,22259,21288,21123,22551,22480,22115,22624,24414,23379,21288,23586,22551,22115,24414,1401,165,2354,72,540,23379,0,22623,22187,22259,21123,22479,1470,930,2189,1236,1305,237,705,22552,23658
"35",21074,21239,5702,5630,5558,0,644,2673,5630,4281,2601,2745,144,572,1845,1680,72,5702,716,5558,5769,3168,1845,2673,72,716,5769,21588,22788,21167,22695,22119,3168,22623,0,644,572,1680,144,21483,23553,21002,21423,21318,22860,22284,5630,2601
"36",20574,20739,5058,4986,5058,644,0,3173,4986,4781,3245,3245,644,72,2345,2180,572,5058,72,5058,6237,3636,2345,3173,572,72,6237,21152,22352,20667,22259,21683,3636,22187,644,0,72,2180,644,21047,23117,20502,20987,20882,22424,21848,4986,3245
"37",20502,20667,5130,5058,4986,572,72,3245,5058,4853,3173,3317,716,0,2417,2252,644,5130,144,4986,6165,3564,2417,3245,644,144,6165,21224,22424,20595,22331,21755,3564,22259,572,72,0,2252,716,21119,23189,20430,21059,20954,22496,21920,5058,3173
"38",20702,20867,6964,7036,7108,1680,2180,4209,7036,2601,4281,4137,1536,2252,165,0,1608,6964,2108,7108,7449,4848,165,4209,1608,2108,7449,20088,21288,20795,21195,20619,4848,21123,1680,2180,2252,0,1536,19983,22053,20630,19923,19818,21360,20784,7036,4281
"39",21218,21383,5558,5630,5702,144,644,2673,5630,4137,2745,2601,0,716,1701,1536,72,5558,572,5702,5913,3312,1701,2673,72,572,5913,21444,22644,21311,22551,21975,3312,22479,144,644,716,1536,0,21339,23409,21146,21279,21174,22716,22140,5630,2745
"40",1121,956,21340,21412,21484,21483,21047,24012,21412,22584,24084,23940,21339,21119,19818,19983,21411,21340,20975,21484,24840,22239,19818,24012,21411,20975,24840,105,1305,884,1542,966,22239,1470,21483,21047,21119,19983,21339,0,2070,1049,270,165,1377,801,21412,24084
"41",3191,3026,23410,23482,23554,23553,23117,24516,23482,23088,24588,24444,23409,23189,21888,22053,23481,23410,23045,23554,25344,24309,21888,24516,23481,23045,25344,2001,765,2954,870,1470,24309,930,23553,23117,23189,22053,23409,2070,0,3119,2166,2235,705,1305,23482,24588
"42",72,237,20979,20907,20835,21002,20502,23675,20907,23231,23603,23747,21146,20430,20795,20630,21074,20979,20574,20835,24219,21618,20795,23675,21074,20574,24219,1154,2354,165,2261,1685,21618,2189,21002,20502,20430,20630,21146,1049,3119,0,989,884,2426,1850,20907,23603
"43",1061,1226,21280,21352,21424,21423,20987,23742,21352,22314,23814,23670,21279,21059,20088,19923,21351,21280,20915,21424,24570,22179,20088,23742,21351,20915,24570,165,1401,1154,1308,696,22179,1236,21423,20987,21059,19923,21279,270,2166,989,0,105,1473,861,21352,23814
"44",956,1121,21175,21247,21319,21318,20882,23847,21247,22419,23919,23775,21174,20954,19983,19818,21246,21175,20810,21319,24675,22074,19983,23847,21246,20810,24675,270,1470,1049,1377,801,22074,1305,21318,20882,20954,19818,21174,165,2235,884,105,0,1542,966,21247,23919
"45",2498,2333,22717,22789,22861,22860,22424,23823,22789,22395,23895,23751,22716,22496,21195,21360,22788,22717,22352,22861,24651,23616,21195,23823,22788,22352,24651,1308,72,2261,165,777,23616,237,22860,22424,22496,21360,22716,1377,705,2426,1473,1542,0,612,22789,23895
"46",1922,1757,22141,22213,22285,22284,21848,23211,22213,21783,23283,23139,22140,21920,20619,20784,22212,22141,21776,22285,24039,23040,20619,23211,22212,21776,24039,696,540,1685,777,165,23040,705,22284,21848,21920,20784,22140,801,1305,1850,861,966,612,0,22213,23283
"47",20979,21144,72,0,72,5630,4986,8159,0,9637,8231,8231,5630,5058,7201,7036,5558,72,5058,72,11091,8490,7201,8159,5558,5058,11091,21517,22717,21072,22624,22048,8490,22552,5630,4986,5058,7036,5630,21412,23482,20907,21352,21247,22789,22213,0,8231
"48",23675,23840,8303,8231,8159,2601,3245,72,8231,1680,0,144,2745,3173,4446,4281,2673,8303,3317,8159,3168,5769,4446,72,2673,3317,3168,23979,23823,23768,23730,23118,5769,23658,2601,3245,3173,4281,2745,24084,24588,23603,23814,23919,23895,23283,8231,0
