"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178"
"11",12,40,40,28,34,42,32,34,30,40,0,34,28,30,36,32,26,40,30,38,14,40,46,44,42,46,46,24,36,24,28,24,14,20,30,18,16,34,22,22,26,16,36,44,44,36,36,40,38,36,12,40,32,30,42,44,38,26,22,38,46,32,28,24,14,40,40,38,42,44,32,32,28,22,32,38,32,16,34,28,18,44,46,24,28,44,40,20,12,30,22,36,36,42,36,36,34,46,44,38,22,16,40,32,34,16,34,26,40,38,14,32,30,38,38,32,32,24,10,12,38,32,38,22,24,30,30,18,14,38,42,32,22,34,32,36,38,6,28,36,18,30,16,38,32,18,38,30,28,22,34,40,46,28,24,30,8,36,18,38,36,34,36,44,32,38,36,32,38,30,32,32,14,38,30,24,40,26
"12",22,26,32,42,36,28,28,46,36,36,34,0,36,42,34,32,36,44,18,6,38,42,44,42,40,46,44,40,20,26,16,26,16,26,28,28,16,36,4,30,14,14,30,42,42,36,36,40,36,36,40,34,32,10,48,44,42,20,22,32,44,32,28,28,32,42,42,38,40,46,30,32,28,26,18,10,22,22,14,22,16,42,48,38,32,40,4,18,26,18,24,24,42,22,32,34,28,46,46,36,22,20,34,38,32,26,28,26,12,20,18,28,32,28,32,36,34,10,12,12,46,32,30,36,44,36,34,24,10,32,24,34,26,32,28,34,42,32,28,22,16,14,14,20,32,22,38,30,38,20,38,24,38,12,16,28,42,40,16,36,36,30,40,26,42,36,22,30,32,42,38,30,14,36,42,26,22,38
"13",34,34,36,34,30,18,40,34,24,22,28,36,0,38,36,32,36,36,30,10,38,40,42,44,46,44,32,38,22,20,32,30,34,26,26,36,14,22,8,32,30,20,34,40,40,44,36,42,32,44,40,38,40,24,40,44,40,28,22,34,42,42,22,40,38,40,40,28,44,40,18,34,28,24,24,34,30,28,34,36,38,42,44,28,34,40,6,18,36,12,28,38,42,26,20,28,40,36,42,38,20,34,34,40,28,22,36,36,28,24,38,30,30,12,22,38,38,4,8,10,10,30,34,30,36,40,14,40,18,26,16,20,24,34,26,4,36,36,26,14,40,28,42,32,34,16,36,30,30,36,38,32,38,18,10,24,32,54,16,44,38,30,38,30,32,2,26,12,38,42,8,32,20,38,28,26,42,28
"14",38,36,34,32,42,32,46,34,32,28,30,42,38,0,40,24,34,44,20,32,2,38,42,32,46,38,38,24,20,16,24,20,12,8,32,14,28,34,42,26,18,12,32,42,44,44,36,38,30,32,4,42,42,8,46,34,42,30,32,34,42,44,24,28,28,38,46,28,42,44,34,14,26,36,30,12,34,18,10,16,18,46,34,28,28,38,38,24,28,22,24,22,40,24,22,22,40,36,42,36,36,22,36,34,36,32,24,34,10,22,38,28,42,6,22,38,16,14,36,42,30,32,38,24,36,32,26,18,12,34,36,20,24,38,28,34,36,42,44,20,42,12,42,26,36,34,36,10,34,34,38,38,38,12,14,30,44,38,42,38,34,36,40,26,36,24,20,20,36,44,18,30,24,36,36,12,38,34
"15",18,36,38,20,38,18,40,38,34,36,36,34,36,40,0,24,36,38,20,2,16,40,44,42,44,42,40,18,32,26,28,26,34,4,34,36,26,14,14,12,32,20,36,40,32,44,30,38,30,44,14,42,40,2,44,34,46,34,32,26,44,44,24,32,36,40,46,28,40,42,28,8,32,24,30,28,48,34,40,20,34,44,38,30,22,40,40,18,26,14,30,34,44,32,24,30,42,42,46,36,34,20,34,34,30,32,22,28,8,34,28,28,34,38,6,38,34,14,34,40,46,36,38,36,30,36,40,20,8,40,26,34,22,38,24,30,38,38,30,8,36,20,18,24,24,4,30,8,36,22,38,32,38,38,16,26,46,42,32,38,46,40,24,24,30,26,30,26,2,40,26,26,20,24,44,22,28,40
"16",42,30,30,30,38,38,36,32,34,30,32,32,32,24,24,0,32,28,46,26,38,42,40,40,46,40,38,20,14,26,24,32,12,40,26,18,20,12,42,32,26,32,2,38,40,44,38,36,30,34,40,40,36,28,46,44,36,30,30,2,40,38,28,28,30,42,44,38,44,40,26,30,32,24,30,26,32,22,30,26,16,40,40,32,38,44,6,20,24,22,20,34,44,18,18,18,40,46,42,34,10,24,38,28,44,34,36,30,4,22,36,30,34,12,30,32,18,28,10,40,12,38,32,36,40,34,14,6,12,38,34,14,42,38,10,34,36,34,30,20,42,18,16,26,42,18,36,32,48,22,34,32,36,38,32,24,42,40,26,36,38,32,24,28,16,22,24,36,38,40,40,28,26,36,44,10,38,48
"17",40,32,18,38,34,38,36,30,28,42,26,36,36,34,36,32,0,42,20,4,46,42,38,42,46,40,40,2,10,28,22,30,40,10,28,24,16,34,8,16,24,26,6,40,38,42,26,34,32,24,44,44,36,28,42,44,36,24,26,10,38,38,30,28,34,42,46,34,48,40,24,32,36,26,30,24,36,28,18,34,36,48,40,34,36,48,24,20,30,30,34,30,40,14,24,22,36,38,36,36,26,36,36,22,30,32,28,38,30,18,30,42,26,26,36,36,34,36,12,32,46,36,28,10,38,38,20,16,38,32,24,36,26,32,36,34,36,40,26,26,38,32,44,18,34,24,36,34,36,38,38,28,38,30,38,24,42,40,34,46,34,36,20,28,32,20,38,22,36,38,22,34,30,20,38,46,30,36
"18",36,18,34,18,38,44,30,30,30,38,40,44,36,44,38,28,42,0,26,10,44,44,42,44,46,44,38,6,24,12,18,24,30,40,26,20,30,20,2,28,20,36,30,42,42,36,38,32,40,40,42,42,44,28,42,36,32,30,34,30,42,46,26,36,24,44,46,12,44,44,22,26,26,28,24,32,36,24,32,18,28,48,40,32,36,46,20,18,32,28,34,34,40,22,36,26,34,44,42,38,38,28,14,28,20,28,34,24,24,18,30,24,28,10,34,34,36,22,40,32,26,30,34,28,32,36,8,14,28,34,24,36,26,40,34,36,36,34,22,36,42,28,18,18,18,18,8,12,38,26,36,42,38,36,12,24,42,40,26,8,36,36,24,4,26,20,38,12,6,38,16,34,40,32,26,36,34,40
"19",34,40,38,36,44,34,28,32,46,26,30,18,30,20,20,46,20,26,0,30,44,40,36,40,36,42,36,40,38,24,22,14,20,8,30,22,24,30,12,30,18,12,6,42,42,44,36,38,42,34,42,40,44,38,46,44,6,28,30,30,36,46,24,12,30,40,46,36,44,40,30,32,28,30,30,26,36,26,20,38,24,48,40,38,40,44,26,34,24,36,30,30,42,42,24,30,14,42,34,42,22,12,8,24,38,40,26,30,36,36,38,24,30,8,32,38,32,32,12,24,48,34,30,24,40,34,18,4,18,24,20,38,22,40,42,38,38,36,24,20,42,30,6,16,36,26,38,32,40,32,36,34,26,32,24,40,42,36,36,26,36,34,26,44,32,20,10,10,40,16,22,12,22,22,24,28,38,36
"20",30,28,24,34,26,26,40,38,42,4,38,6,10,32,2,26,4,10,30,0,44,44,42,38,36,44,32,12,22,30,18,18,32,2,36,30,30,18,40,30,14,34,24,42,40,38,28,32,22,40,42,44,44,34,42,44,32,26,32,30,42,46,30,32,22,44,36,12,42,42,32,14,26,30,28,32,38,34,28,22,26,44,38,38,34,42,22,32,26,14,32,30,44,24,38,24,38,32,40,40,22,42,16,12,22,34,48,28,22,30,48,12,18,4,22,34,36,22,18,24,46,34,30,30,40,34,16,8,18,34,36,38,22,44,26,32,26,34,6,26,50,28,36,40,16,26,28,34,40,26,18,42,24,32,32,40,40,40,36,1e-09,36,34,30,20,30,38,28,10,42,20,14,28,30,34,24,36,42,36
