"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147"
"11",7919,4834,252,34,438,9372,12654,18965,9652,9214,0,8416,8618,8708,5864,19031,6050,5864,19639,14578,10996,9462,9500,9524,10906,17887,17326,7699,8326,4928,18781,17546,13202,21083,8608,12930,9440,5382,5658,9500,9440,20783,11080,11118,17236,20397,18715,5348,21181,9294,5344,9648,11182,7643,13296,3806,9410,9248,16946,13202,10640,19321,10966,5147,17821,5457,22277,6050,5774,5612,4770,4550,4962,5238,11548,11514,23861,19705,19705,3882,3572,3606,7523,7919,8337,8215,8335,7455,19735,19669,8958,8403,19925,5692,9686,10826,10550,9614,17546,11824,22633,11152,8793,8517,4082,7667,1750,19859,9750,19353,8438,8602,8755,8843,8875,10826,10770,17856,8162,17882,8252,19954,11182,8679,11572,8152,8186,17788,7799,18206,7765,29968,22633,16253,22277,20059,17397,22405,28091,21203,17657,20984,20776,20238,19754,20281,20215
"12",11846,9944,8352,8450,8414,13388,14060,21584,13244,13246,8416,0,13300,13142,10188,21582,10374,10092,21066,17430,2842,13230,13092,13308,2876,20314,19890,11626,158,10096,20980,19986,12514,22521,13290,14088,13280,10948,10976,13312,13280,22334,14994,5438,19924,22684,21002,10914,22653,13144,10978,13416,2904,11818,12548,11448,13346,13280,16292,12514,4902,21816,5410,10667,20316,10729,22716,10278,10250,10280,10308,10460,10130,10158,3636,3602,23018,21064,21064,11027,10965,10999,12058,11846,13272,13510,13270,11990,21934,21956,13166,13338,22248,11010,13374,5088,5060,13382,19986,3664,22948,5472,13132,13104,11476,11718,7998,22270,13342,21780,12934,186,13014,12866,12898,5088,14932,14528,12906,14370,12872,22184,2904,13366,3412,12896,12930,14460,12086,20894,12052,32654,22948,19130,22716,22428,20398,22652,30799,23696,20432,22553,22345,21931,21571,22480,22502
"13",2170,4834,8870,8584,9056,4609,11946,15072,4991,4519,8618,13300,0,158,7870,15138,8056,7870,18482,16124,11964,4767,4771,4795,11806,14062,12897,2018,13142,7284,18664,13083,12091,20887,254,12256,4745,4268,4612,4771,4711,19558,6329,8552,12739,20212,18598,4302,20985,4692,4298,4953,12150,1826,12231,5622,4613,4451,19118,12091,10102,15494,8366,5899,13996,6209,21292,8056,7712,7550,7046,6906,7250,7594,10316,10350,23584,18548,18428,7598,7288,7254,1620,2170,4049,3744,3984,1654,19550,19484,638,3916,19740,4612,4991,10288,9944,4953,13049,10660,21714,8552,1804,1460,5932,2117,7566,19674,5055,15560,2500,13486,4284,4623,4524,10288,6019,16677,2156,16885,2314,19837,12150,4294,10607,2376,2342,16745,1930,13675,1964,25990,21714,12664,21292,17240,13740,21420,27693,18316,14000,20113,19879,19341,18857,20162,20096
"14",2012,4992,8836,8742,8898,4767,12104,15106,4833,4609,8708,13142,158,0,7712,15172,7898,7712,18324,15966,11930,4609,4613,4637,11964,13904,12863,1860,13300,7374,18506,12925,12181,21045,344,12098,4835,4426,4454,4737,4869,19592,6171,8394,12897,20122,18440,4392,21143,4850,4264,4795,11992,1984,12197,5780,4771,4609,19276,12249,9944,15338,8332,5989,13838,6051,21326,7898,7870,7708,7204,6996,7408,7436,10474,10440,23618,18390,18270,7440,7378,7412,1778,2012,4207,3834,4074,1744,19460,19394,480,4074,19774,4454,4833,10130,10102,4795,12891,10502,21558,8394,1646,1618,5774,2083,7408,19708,4897,15404,2342,13328,4126,4589,4490,10130,6109,16835,2314,16727,2280,19710,11992,4136,10449,2466,2500,16835,1772,13833,1806,25900,21558,12506,21326,17082,13774,21454,27603,18350,14034,19997,19789,19375,19015,20006,19940
"15",7004,4098,5864,5898,5926,4352,16535,14946,4188,4194,5864,10188,7870,7712,0,15012,186,128,18010,9338,12744,4194,4036,4256,12778,13744,12482,6784,10346,1636,17184,12578,13302,20054,7860,16563,4160,9027,9055,4032,4160,19278,11723,12738,12516,18828,17146,8993,19924,9429,8993,4380,12806,6976,13298,9460,4066,4228,20108,13302,12141,15178,12710,8556,13678,8618,19046,314,286,320,2234,2014,1670,1698,13521,13487,22266,18076,18076,9052,8990,9024,6856,7004,5960,5838,5958,6788,18138,18100,7702,6026,18452,9089,4094,12327,12299,4346,12578,13549,19278,12772,7896,7868,9488,6876,5386,18414,4222,15210,7357,10374,5402,5614,5646,12327,11661,17956,7329,17760,7295,18388,12806,6054,13297,7319,7353,17888,6884,13486,6850,29861,19278,15524,19046,18340,16792,19046,28066,19608,16792,19192,18984,18570,18210,18684,18646
"16",13764,17552,19221,18997,19097,11752,20216,66,11920,11662,19031,21582,15138,15172,15012,0,15074,15012,10850,16116,21192,11786,11858,11634,21096,1392,12946,13826,21548,14530,9680,12788,18653,15866,15168,20222,11888,16200,16172,11920,11888,9458,21184,18600,12850,8880,9646,16234,15966,19796,16168,11848,21068,13792,18696,16440,11824,11662,21048,18619,20478,1304,18690,18025,1458,17963,7948,14950,14978,14816,15020,14880,14496,14468,19314,19348,12606,10784,10584,18272,18334,18300,13518,13888,12020,11716,11956,13586,9642,9608,15332,11922,8288,16262,11762,20416,20444,11758,12946,19286,9186,18690,14750,14778,16446,13986,18723,8254,11826,1272,17232,21644,11300,11700,11602,20540,21122,20159,17260,20174,17356,9291,21192,11860,19446,17324,17290,20193,13648,13752,13524,28572,9186,16568,7948,11552,15176,8076,29812,10160,15306,10338,10104,9478,11834,9526,9492
"17",7004,4284,6050,6084,5926,4538,16721,15008,4002,4380,6050,10374,8056,7898,186,15074,0,314,18010,9338,12930,4380,4222,4256,12964,13744,12668,6970,10532,1822,17184,12578,13488,20240,8046,16563,4346,9213,9055,4218,4346,19340,11537,12738,12702,18910,17146,9179,20110,9615,9179,4194,12806,7162,13484,9646,4252,4414,20294,13488,12327,15312,12896,8742,13678,8618,19108,314,472,506,2420,2200,1856,1698,13707,13673,22328,18076,18076,9052,9176,9210,7042,6818,6146,6024,6144,6974,18324,18286,7888,6212,18514,8903,4094,12327,12485,4346,12392,13549,19412,12586,7896,8054,9488,7062,5386,18476,4222,15344,7357,10188,5588,5800,5832,12141,11847,18142,7515,17946,7481,18388,12620,6054,13483,7505,7539,18074,6698,13672,6850,29919,19412,15524,19108,18340,16854,19108,28124,19670,16854,19274,19066,18632,18396,18818,18780
"18",7004,4098,5736,5898,5798,4352,16535,14946,4060,4194,5864,10092,7870,7712,128,15012,314,0,18010,9338,12653,4194,3908,4256,12687,13744,12482,6784,10250,1636,17184,12578,13238,20022,7860,16563,4160,8899,8927,4160,4160,19278,11601,12738,12516,18828,17146,8865,19924,9307,8993,4380,12715,6976,13234,9460,4194,4228,20108,13238,12143,15178,12710,8560,13678,8622,19046,186,158,320,2234,2014,1670,1698,13425,13391,22264,18076,18076,8930,8868,8902,6856,7004,5960,5838,5958,6788,18138,18100,7702,6026,18452,8961,4222,12329,12301,4346,12578,13453,19278,12772,7896,7868,9488,6876,5386,18414,4222,15210,7359,10278,5402,5614,5646,12329,11539,17892,7331,17696,7297,18388,12715,6054,13201,7321,7355,17824,6884,13486,6850,29733,19278,15524,19046,18340,16792,18918,27938,19608,16792,19192,18984,18570,18210,18684,18646
"19",17374,18258,19767,19673,19457,18062,21430,10784,17908,17904,19639,21066,18482,18324,18010,10850,18010,18010,0,18120,22232,17904,17942,17594,22266,9458,18248,17526,21224,17322,3508,17972,20460,11464,18418,21086,18130,19682,19338,18066,18130,1392,22426,19986,18282,5288,3442,19648,11562,21734,19520,17904,21922,17718,20450,19906,18100,17938,14032,20460,21068,11160,20330,20497,9392,20187,5641,17824,18168,18006,17164,16944,17356,17012,21496,21462,10704,66,1266,20412,20722,20756,17548,17560,16882,16710,16880,17480,4834,4768,18520,16948,4900,19558,17756,20882,21226,17684,18158,21152,6017,20206,17882,18226,19562,17618,19119,4834,17820,11192,19246,21066,17002,17264,17296,21068,22550,21418,19590,21216,19556,4712,22108,16604,21272,19526,19560,21350,17390,19252,17170,29722,6017,7998,5641,3114,9390,5769,28592,4506,9650,9450,9242,8788,8676,5276,5210
"20",14886,12872,14706,14612,14396,12838,15753,16050,12684,12680,14578,17430,16124,15966,9338,16116,9338,9338,18120,0,19758,12680,12718,12370,19792,14724,4484,15038,17588,10210,17556,4208,21218,17786,16114,15409,12906,17469,17125,12842,12906,19512,20106,19088,4518,19364,17518,17435,17884,18094,17307,12680,19448,15230,21210,17738,12876,12714,22786,21218,19030,16426,19432,17269,14658,16959,20180,9152,9496,9334,10808,10588,10244,9900,20347,20313,23891,18186,18186,17229,17539,17573,15110,15072,13974,13852,13972,15042,18882,18844,16216,14040,18948,17345,12532,18844,19188,12460,4394,20003,20556,19308,15778,16122,17394,15130,13788,18910,12596,16458,15446,17430,13416,13628,13660,19030,20230,22352,15790,22152,15756,18760,19634,13696,20123,15780,15814,22284,14952,5488,14732,30201,20556,18934,20180,18450,20326,20308,27926,19842,20586,20562,20354,19900,19788,19324,19286
"21",10598,12476,10810,11030,11120,12284,12596,21192,12270,12147,10996,2842,11964,11930,12744,21192,12930,12653,22232,19758,0,12250,12118,12333,158,19986,18839,10378,2876,12480,22172,19183,11300,23555,11954,12748,12178,9414,9566,12085,12178,23438,12906,4082,18997,23878,22196,9380,23685,11040,9318,12436,310,10446,11210,10004,12243,12181,17124,11300,2377,21486,3806,8117,19986,8303,23884,12839,12687,12716,12692,12844,12514,12666,2070,2036,24221,22232,22232,8607,8421,8455,10686,10598,12090,12328,12088,10618,23126,23150,11954,12156,23378,9600,12395,2563,2411,12402,19183,2222,24178,4116,11932,11780,10156,10222,10766,23402,12364,21452,10585,3028,11944,11548,11580,2563,12720,13314,10433,13280,10275,23314,310,12308,1970,10423,10457,13246,10838,19967,10804,32022,24178,20242,23884,23652,21448,23822,32497,24858,21482,23408,23200,22724,22302,23672,23696
"22",3449,7826,9590,9496,9652,158,13293,11720,506,248,9462,13230,4767,4609,4194,11786,4380,4194,17904,12680,12250,0,320,344,12284,10518,8796,3263,13388,5486,16950,8824,10530,19878,4729,13355,474,5829,5857,444,542,19172,10711,9799,8830,18598,16916,5795,19976,9379,5667,186,12312,3421,10528,6294,478,316,20114,10564,11421,11952,9703,7581,10452,7643,18802,4380,4352,4190,6044,5836,5520,5548,10507,10473,22315,17970,17770,8176,8114,8148,3147,3449,2474,2102,2342,3147,17904,17870,4899,2376,18218,5823,472,11607,11579,220,8858,10535,19034,9765,4435,4407,6356,3485,9053,18184,536,12052,6909,13416,1562,2024,1926,11607,10649,15184,6881,15024,6847,18154,12312,2370,10447,6877,6911,15150,3209,9732,3209,28512,19034,15977,18802,18738,17245,18930,30116,20006,17505,18382,18174,17760,17400,18450,18416
"23",3453,7864,9372,9534,9434,478,13365,11792,220,320,9500,13092,4771,4613,4036,11858,4222,3908,17942,12718,12118,320,0,348,12152,10590,8834,3301,13250,5524,16988,8896,10308,19852,4801,13359,286,5611,5639,252,320,19210,10531,9837,8868,18636,16954,5577,19754,9210,5705,506,12180,3425,10304,6366,286,320,20152,10376,11462,12024,9775,7369,10524,7431,18840,4094,4066,4228,6082,5874,5558,5586,10337,10303,22119,18008,17808,7967,7905,7939,3219,3453,2513,2140,2380,3185,17942,17908,4677,2380,18256,5639,348,11648,11620,506,8862,10365,19072,9837,4439,4411,6360,3524,9091,18222,348,12090,6950,13278,1600,2063,1964,11648,10469,14962,6922,14834,6888,18192,12180,2442,10312,6918,6952,14962,3213,9804,3247,28320,19072,16015,18840,18776,17283,18712,29887,20044,17283,18421,18213,17799,17439,18488,18454
"24",3105,7888,9652,9558,9342,502,13389,11568,382,344,9524,13308,4795,4637,4256,11634,4256,4256,17594,12370,12333,344,348,0,12367,10242,8858,3325,13466,5548,16640,8548,10590,19940,4825,13011,570,5891,5547,472,604,18986,10622,9489,8892,18452,16606,5857,20038,9487,5729,344,12023,3449,10586,6390,506,344,20176,10658,11491,11944,9799,7648,10176,7338,18616,4070,4414,4252,6106,5898,5582,5238,10553,10519,22156,17660,17460,7872,8182,8216,3243,3291,2537,2164,2404,3209,17966,17932,4961,2404,18032,5733,196,11305,11649,158,8700,10209,18992,9675,4091,4435,6012,3548,8743,17998,260,12010,6607,13308,1624,2087,1988,11491,10746,15244,6951,15116,6917,17844,12209,2094,10528,6947,6981,15244,3051,9828,2899,28424,18992,15667,18616,18428,17059,18744,29991,19820,17319,18237,18029,17575,17463,18408,18374
"25",10632,12318,10968,10872,11154,12126,12438,21096,12304,12057,10906,2876,11806,11964,12778,21096,12964,12687,22266,19792,158,12284,12152,12367,0,20020,18997,10412,2718,12390,22206,19217,11210,23397,11864,12782,12088,9256,9600,12243,12020,23342,12940,4116,18839,23844,22230,9290,23527,10882,9476,12470,344,10288,11368,9846,12085,12023,16966,11142,2411,21518,3964,8027,20020,8337,23788,12873,12529,12558,12534,12754,12356,12700,1912,1946,24125,22266,22266,8641,8331,8297,10528,10632,11932,12238,11998,10528,23092,23116,11988,11998,23282,9634,12429,2597,2253,12436,19217,2256,24210,4150,11966,11622,10190,10380,10800,23306,12398,21484,10619,3062,11978,11706,11738,2597,12630,13156,10275,13314,10433,23379,344,12342,2004,10333,10299,13156,10872,19809,10838,31988,24210,20276,23788,23686,21352,23726,32463,24762,21386,23400,23166,22628,22144,23704,23728
"26",12372,16476,18015,17921,17705,10676,19140,1458,10590,10518,17887,20314,14062,13904,13744,1392,13744,13744,9458,14724,19986,10518,10590,10242,20020,0,11740,12558,20472,13386,8288,11396,17509,14790,14024,18830,10744,15124,14780,10714,10812,10850,19854,17208,11774,10100,8254,15090,14890,18720,14962,10518,19676,12716,17490,15364,10748,10586,19972,17543,19210,1834,17484,16881,66,16571,9340,13558,13902,13740,13944,13736,13420,13076,18238,18204,13998,9392,9192,16880,17190,17224,12442,12558,10944,10572,10812,12442,9614,9580,14064,10846,9680,14932,10370,19024,19368,10366,11616,17894,9716,17360,13358,13702,15054,12780,17331,9646,10434,1802,15840,20314,10032,10494,10396,19210,19978,19083,16184,18906,16150,9492,19862,10468,18178,16180,16214,19049,12318,12676,12132,27788,9716,15176,9340,10160,16568,9468,29028,11552,16698,11532,11324,10870,10758,10056,10022
"27",11703,15750,17330,17360,17640,8830,12289,12880,8986,8672,17326,19890,12897,12863,12482,12946,12668,12482,18248,4484,18839,8796,8834,8858,18997,11740,0,11483,19924,13210,17496,344,18084,17320,12893,12441,8898,13925,14077,8710,8898,19454,18967,16615,158,19144,17462,13891,17418,17521,13639,8982,19149,11551,17952,14398,8868,8706,22678,18084,18245,13174,16339,15682,11674,15868,19924,12668,12516,12354,13768,13560,13244,13396,17251,17217,23720,18314,18114,16342,16156,16190,11311,11703,10352,9978,10218,11243,18450,18416,13119,10286,18702,14111,9020,18431,18279,8948,344,17403,20218,16649,12689,12537,14550,11459,17101,18668,9084,13206,15137,20076,9562,9778,9678,18431,18781,19306,14985,19230,14827,18638,19149,10438,17283,14981,15015,19238,11463,1128,11429,28650,20218,19621,19924,19082,20827,20052,30196,20288,21087,19764,19556,19080,18658,18996,18962
"28",220,5216,7827,7733,7889,3421,10758,13760,3453,3263,7699,11626,2018,1860,6784,13826,6970,6784,17526,15038,10378,3263,3301,3325,10412,12558,11483,0,11784,6446,17678,11579,11462,20217,2014,10786,3489,3046,3074,3425,3489,18794,7906,8418,11517,19294,17612,3012,20315,6542,2884,3449,10440,192,11478,4434,3459,3297,18448,11462,9916,13992,8390,4683,12492,4745,20528,6970,6942,6780,5916,6068,6480,6508,8682,8648,22790,17592,17442,6134,6072,6106,432,220,2348,2454,2214,364,18632,18566,2116,2282,18946,3108,3487,10102,10074,3415,11579,8710,20760,8452,1686,1658,4462,224,6435,18880,3551,14024,4030,11812,2746,2730,2630,10102,7844,16116,4002,15940,3968,18882,10440,2310,8590,3998,4032,16048,460,12487,426,27726,20760,13790,20528,18366,15058,20656,29322,19634,15318,18562,18354,17940,17580,19178,19112
"29",12004,9786,8386,8292,8572,13230,13902,21550,13402,13156,8326,158,13142,13300,10346,21548,10532,10250,21224,17588,2876,13388,13250,13466,2718,20472,19924,11784,0,10006,21138,20144,12424,22363,13200,14246,13190,10790,11134,13346,13122,22300,15152,5596,19766,22774,21160,10824,22495,12986,11012,13574,3062,11660,12582,11290,13188,13122,16134,12356,5060,21972,5444,10577,20474,10887,22682,10436,10092,10122,10150,10370,9972,10316,3478,3512,22984,21222,21222,11185,10875,10841,11900,12004,13114,13420,13180,11900,22024,22046,13324,13180,22214,11168,13532,5246,4902,13540,20144,3822,23104,5630,13290,12946,11634,11752,8156,22236,13500,21936,13092,344,13172,12900,12932,5246,14842,14370,12748,14528,12906,22311,3062,13524,3570,12806,12772,14370,12244,20736,12210,32744,23104,19288,22682,22586,20364,22618,30889,23662,20398,22669,22435,21897,21413,22636,22658
"30",6666,3462,5180,4962,5366,5396,15979,14464,5676,5238,4928,10096,7284,7374,1636,14530,1822,1636,17322,10210,12480,5486,5524,5548,12390,13386,13210,6446,10006,0,16996,13430,12838,20138,7274,16255,5464,8539,8815,5524,5464,18466,11448,12570,13120,18640,16958,8505,20236,8894,8501,5672,12666,6390,12939,8559,5434,5272,19907,12838,11900,14820,12418,8129,13320,8439,18924,1822,1546,1384,598,378,34,310,13200,13166,21642,17388,17388,8460,8150,8184,6270,6666,4424,4302,4422,6202,17950,17912,7624,4490,18140,8849,5710,12086,11810,5638,13430,13476,19280,12604,7558,7282,8835,6414,4998,18102,5774,14852,6926,10282,4114,4202,4234,12086,11138,17492,6650,17525,6740,18169,12666,4766,13224,6640,6674,17424,6546,14090,6512,29604,19280,15386,18924,17652,16530,19052,27839,18796,16790,19829,19621,19083,18599,18496,18458
"31",17526,18355,18909,18815,18599,17108,21940,9746,16954,16950,18781,20980,18664,18506,17184,9680,17184,17184,3508,17556,22172,16950,16988,16640,22206,8288,17496,17678,21138,16996,0,17220,19803,8568,18576,21596,17176,19544,19200,17112,17176,4900,22802,19968,17530,1912,66,19510,8668,22100,19382,16950,21862,17870,19792,18868,17146,16984,13356,19803,21232,10122,20312,20559,8354,20249,6424,16998,17342,17180,16866,16646,17030,16686,21292,21258,9634,3442,2242,19574,19884,19918,17650,17712,16534,16312,16532,17582,1326,1392,18548,16600,1392,19420,16802,21046,21390,16730,17406,20948,6800,20188,17880,18224,18524,17770,19086,1458,16866,10022,19574,20980,16572,16884,16916,21232,22926,21069,19918,20866,19884,1204,22048,16256,21068,19830,19864,21001,17492,18500,17272,29560,6800,11218,6424,6202,12610,6552,28691,7594,12740,6594,6386,5932,5820,1768,1834
"32",11393,15970,17674,17580,17364,8982,12441,12722,8896,8824,17546,19986,13083,12925,12578,12788,12578,12578,17972,4208,19183,8824,8896,8548,19217,11396,344,11579,20144,13430,17220,0,18270,17540,13045,12131,9050,14145,13801,9020,9118,19364,18875,16339,378,19032,17186,14111,17638,17741,13983,8824,18873,11737,18262,14550,9054,8892,22898,18304,18341,13098,16615,15902,11330,15592,19834,12392,12736,12574,13988,13780,13464,13120,17437,17403,23630,18038,17838,16066,16376,16410,11463,11579,10570,10198,10438,11463,18546,18512,13215,10472,18612,13953,8676,18155,18499,8672,220,17093,20210,16491,12379,12723,14240,11801,16825,18578,8740,13198,14861,19986,9658,10120,10022,18341,18999,19492,15205,19326,15171,18424,19059,10094,17377,15201,15235,19458,11339,1280,11153,28434,20210,19345,19834,18806,20737,19962,30046,20198,20997,19650,19442,18988,18876,18988,18954
"33",11614,14896,13262,13236,13448,10440,17458,18655,10528,10314,13202,12514,12091,12181,13302,18653,13488,13238,20460,21218,11300,10530,10308,10590,11210,17509,18084,11462,12424,12838,19803,18270,0,22375,12147,17700,10218,10644,10920,10372,10252,21604,14915,11487,17994,21489,19807,10610,22439,13923,10798,10716,11486,11338,158,10334,10282,10314,20750,68,12693,19011,11301,11891,17511,12201,21841,13424,13148,13244,13122,13094,12872,13148,9558,9524,22486,20458,20358,11876,11566,11600,11372,11614,10293,10160,10160,11338,20757,20761,12237,10160,20947,10920,10592,12879,12603,10716,18236,9834,22197,11487,12602,12326,10576,11561,13872,20951,10528,19009,13729,12700,9970,10069,9970,12879,14605,4654,13453,4812,13543,20976,11486,10470,9781,13475,13509,4654,11614,18930,11648,30201,22197,17774,21841,20390,18918,21777,31889,21534,18884,22211,22003,21465,20981,21303,21307
"34",20437,20595,21271,21049,21457,19720,22004,15932,20004,19630,21083,22521,20887,21045,20054,15866,20240,20022,11464,17786,23555,19878,19852,19940,23397,14790,17320,20217,22363,20138,8568,17540,22375,0,20867,22348,19760,21463,21807,19884,19692,12540,25359,22055,17162,10182,8568,21497,196,24185,21557,20064,23741,20093,22503,21052,19726,19596,11626,22307,22933,16354,21903,22515,14856,22825,10862,20208,19864,19766,19926,19774,20104,20448,22491,22525,12606,11398,10198,22380,22070,22036,19873,20437,19662,19508,19728,19873,9454,9454,20991,19728,9644,21841,20070,23119,22775,20030,17540,22835,11284,22089,20791,20447,21396,20185,21804,9644,20070,16254,22451,22707,20032,20220,20252,23119,25049,24002,22107,24130,22265,9741,23741,20072,22583,22087,22053,24002,20217,16260,20183,31614,11284,15049,10862,14158,16125,10926,30667,15234,16159,10792,10558,10020,7664,10066,10066
"35",2200,5006,8860,8642,9046,4639,11976,15102,4987,4481,8608,13290,254,344,7860,15168,8046,7860,18418,16114,11954,4729,4801,4825,11864,14024,12893,2014,13200,7274,18576,13045,12147,20867,0,12286,4707,4332,4608,4801,4775,19562,6480,8580,12803,20192,18510,4298,20965,4912,4294,4915,12140,1924,12287,5652,4711,4549,19098,12181,10130,15458,8360,5889,13958,6199,21296,8046,7770,7608,7104,6896,7308,7584,10414,10380,23564,18484,18340,7588,7278,7312,1650,2200,4112,3740,3980,1650,19530,19464,418,4014,19720,4574,4953,10316,10040,4949,13079,10690,21652,8546,1930,1654,5962,2112,7556,19654,5017,15558,2652,13476,4280,4618,4520,10316,6170,16801,2376,16907,2466,19749,12140,4256,10602,2156,2190,16767,1960,13705,1960,26176,21652,12444,21296,17020,13588,21424,27912,18164,13848,20174,19966,19428,18944,20076,20010
"36",10566,15167,13058,12964,12748,13513,378,20156,13393,13355,12930,14088,12256,12098,16563,20222,16563,16563,21086,15409,12748,13355,13359,13011,12782,18830,12441,10786,14246,16255,21596,12131,17700,22348,12286,0,13581,8312,7968,13483,13615,22478,15941,10272,12475,23376,21530,8278,22446,15436,8150,13355,12438,10910,17704,9354,13517,13355,13946,17768,12044,20532,10582,10069,18764,9759,24624,16377,16721,16559,16085,15877,16289,15945,11152,11118,25774,21152,20952,10836,11146,11180,10704,10752,13013,12640,12880,10670,22922,22856,12422,12880,22988,8154,13207,11858,12202,13169,12283,10808,25000,10458,11552,11896,8976,11009,11612,22922,13271,20598,13438,14088,12932,13395,13296,12044,16065,17030,13782,16910,13748,22800,12624,12570,11127,13778,13812,17030,10512,13411,10360,28748,25000,19808,24624,22184,21200,24752,30806,23576,21460,22535,22327,21873,21761,23364,23298
"37",3675,7804,9500,9474,9686,384,13271,11822,472,226,9440,13280,4745,4835,4160,11888,4346,4160,18130,12906,12178,474,286,570,12088,10744,8898,3489,13190,5464,17176,9050,10218,19760,4707,13581,0,5615,5891,286,68,19274,10776,10025,8808,18824,17142,5581,19694,9208,5769,660,12364,3399,10338,6272,196,294,20092,10252,11646,12178,9805,7121,10678,7431,18904,4346,4070,4168,6022,5814,5498,5774,10311,10277,22181,18196,17996,8213,7903,7937,3125,3675,2452,2080,2320,3125,18130,18096,4865,2354,18320,5857,438,11832,11556,694,9084,10587,19260,9991,4661,4385,6582,3587,9279,18286,310,12278,7134,13466,1788,2126,2028,11832,10466,14872,6858,14958,6948,18349,12364,2596,10499,6854,6888,14838,3435,9710,3435,28538,19260,16203,18904,18964,17347,18840,30138,20108,17347,18608,18400,17862,17378,18676,18642
"38",3266,7263,5378,5348,5564,5671,7968,16134,5763,5581,5382,10948,4268,4426,9027,16200,9213,8899,19682,17469,9414,5829,5611,5891,9256,15124,13925,3046,10790,8539,19544,14145,10644,21463,4332,8312,5615,0,344,5739,5547,20758,8136,7624,13767,21092,19478,34,21433,7128,286,6015,9600,2922,10776,1644,5581,5547,16158,10576,9020,16556,7472,1893,15058,2203,22492,9085,8741,8835,8301,8161,8505,8849,7692,7726,23759,19748,19548,3528,3218,3184,2682,3266,5078,4772,5012,2682,20430,20364,4490,5012,20620,378,5925,9206,8862,5981,14145,8036,22914,7658,4252,3908,1988,3146,4396,20554,5925,16588,6066,11134,5312,5652,5552,9206,7826,15230,5722,15362,5880,20717,9600,5356,7916,5786,5752,15230,3026,14737,2992,27868,22914,15820,22492,20396,16896,22364,29793,21472,16964,20846,20612,20074,19590,21042,20976
"39",2922,7607,5530,5692,5220,6015,8312,16106,5605,5857,5658,10976,4612,4454,9055,16172,9055,8927,19338,17125,9566,5857,5639,5547,9600,14780,14077,3074,11134,8815,19200,13801,10920,21807,4608,7968,5891,344,0,5891,5891,20730,7978,7280,14111,20980,19134,310,21777,7472,438,5857,9256,3266,10928,1988,5925,5891,16502,10920,9048,16482,7624,2169,14714,1859,22464,8741,9085,9179,8645,8437,8849,8505,8036,8002,23731,19404,19204,3184,3494,3528,3026,3108,5422,5048,5288,2958,20526,20460,4518,5356,20592,220,5581,8862,9206,5637,13987,7692,22840,7500,3908,4252,1644,3298,4052,20526,5581,16514,5722,10976,5340,5804,5704,9048,8102,15574,6066,15390,6032,20404,9442,5012,7944,6062,6096,15506,2868,15081,2648,27720,22840,15476,22464,20052,16868,22336,29645,21444,16936,20708,20500,20046,19934,20968,20902
"40",3577,7864,9376,9534,9686,478,13365,11854,472,320,9500,13312,4771,4737,4032,11920,4218,4160,18066,12842,12085,444,252,472,12243,10714,8710,3425,13346,5524,17112,9020,10372,19884,4801,13483,286,5739,5891,0,320,19272,10777,9961,8868,18760,17078,5705,19754,9332,5581,630,12395,3425,10244,6366,158,320,20152,10440,11584,12148,9651,7365,10648,7551,18902,4346,4194,4228,6082,5874,5558,5710,10433,10399,22183,18132,17932,8213,8027,8061,3219,3577,2513,2140,2380,3185,18066,18032,4801,2380,18318,5891,344,11770,11618,630,8986,10585,19196,9961,4563,4411,6484,3400,9215,18284,472,12214,7072,13498,1724,1939,1840,11770,10591,15026,6920,15022,6762,18254,12395,2566,10532,6916,6950,15026,3337,9804,3371,28572,19196,16139,18902,18900,17345,18902,30139,20106,17345,18545,18337,17861,17439,18612,18578
